person_id,aircraft_type,flight_no,pickup_stop_order,delivery_stop_order
P0661,T3,39,0,1
P0662,T3,31,1,2
P0663,T3,3,1,2
P0664,T3,52,4,5
P0665,T3,56,0,2
P0666,T3,38,1,2
P0667,T3,71,3,4
P0668,T3,12,2,3
P0669,T3,76,2,3
P0670,T2,4,2,3
P0671,T3,94,1,3
P0672,T3,16,0,2
P0673,T3,70,0,1
P0674,T3,46,2,3
P0675,T3,35,1,2
P0676,T3,73,5,6
P0677,T3,56,0,2
P0678,T3,2,1,2
P0679,T3,1,2,3
P0680,T3,4,0,1
P0681,T3,75,1,3
P0682,T3,18,0,2
P0683,T3,77,3,4
P0684,T3,19,1,4
P0685,T3,14,0,1
P0686,T3,85,3,5
P0687,T3,14,0,1
P0688,T3,70,2,3
P0689,T3,73,0,1
P0690,T3,19,1,4
P0691,T3,45,2,3
P0692,T3,66,2,4
P0693,T3,50,0,1
P0694,T3,8,2,3
P0695,T3,38,1,2
P0696,T3,32,0,1
P0697,T3,41,0,1
P0698,T3,13,0,2
P0699,T3,11,1,2
P0700,T3,48,0,2
P0701,T3,3,1,2
P0702,T3,5,1,2
P0703,T3,31,0,1
P0704,T3,71,0,1
P0705,T3,13,1,2
P0706,T3,41,1,2
P0707,T3,3,0,1
P0708,T2,2,3,5
P0709,T3,73,0,1
P0710,T3,31,2,3
P0711,T3,59,4,6
P0712,T3,81,2,3
P0713,T3,43,1,2
P0714,T3,78,0,1
P0715,T3,1,0,1
P0716,T3,85,3,5
P0717,T3,14,2,4
P0718,T1,1,0,1
P0719,T3,59,4,6
P0720,T3,10,1,2
P0721,T3,69,0,1
P0722,T3,16,2,3
P0723,T3,32,5,6
P0724,T3,38,1,2
P0725,T3,57,1,3
P0726,T3,90,3,5
P0727,T3,22,4,6
P0728,T3,71,0,1
P0729,T3,46,0,1
P0730,T3,82,1,3
P0731,T3,46,0,1
P0732,T3,63,1,2
P0733,T3,95,1,3
P0734,T3,16,2,3
P0735,T3,1,0,1
P0736,T3,6,4,5
P0737,T3,29,1,2
P0738,T3,51,0,2
P0739,T3,32,2,5
P0740,T3,1,1,2
P0741,T3,70,0,1
P0742,T3,11,1,2
P0743,T3,49,0,2
P0744,T3,53,0,3
P0745,T3,1,2,3
P0746,T3,55,0,1
P0747,T3,14,0,1
P0748,T3,82,1,3
P0749,T3,67,1,2
P0750,T3,37,0,1
P0751,T3,55,0,1
P0752,T3,32,5,6
P0753,T3,1,1,2
P0754,T3,89,1,2
P0755,T3,56,0,2
P0756,T3,33,3,4
P0757,T3,31,0,1
P0758,T3,73,5,6
P0759,T3,52,4,5
P0760,T3,5,1,2
P0761,T3,53,0,3
P0762,T3,1,2,3
P0763,T3,71,3,4
P0764,T3,71,2,3
P0765,T1,2,2,4
P0766,T3,81,2,3
P0767,T3,55,0,1
P0768,T3,71,0,1
P0769,T3,38,1,2
P0770,T3,102,3,4
P0771,T3,57,1,3
P0772,T3,99,2,4
P0773,T3,84,0,2
P0774,T3,52,4,5
P0775,T3,7,2,3
P0776,T3,70,0,1
P0777,T3,95,1,3
P0778,T3,82,0,1
P0779,T3,13,2,3
P0780,T3,6,4,5
P0781,T3,70,0,1
P0782,T3,37,0,1
P0783,T3,75,2,3
P0784,T3,101,3,4
P0785,T3,16,0,2
P0786,T3,14,0,1
P0787,T3,70,4,5
P0788,T3,93,0,5
P0789,T3,22,4,6
P0790,T3,6,4,5
P0791,T3,36,4,6
P0792,T3,31,0,1
P0793,T3,84,0,2
P0794,T3,75,0,2
P0795,T3,73,2,3
P0796,T3,2,0,1
P0797,T3,88,0,3
P0798,T2,5,2,3
P0799,T3,62,0,2
P0800,T3,37,0,1
P0801,T3,70,0,1
P0802,T3,102,3,4
P0803,T3,46,2,3
P0804,T3,14,2,4
P0805,T3,70,0,1
P0806,T3,13,1,2
P0807,T3,15,2,4
P0808,T3,62,0,2
P0809,T3,55,0,1
P0810,T3,37,5,6
P0811,T3,38,1,2
P0812,T3,14,0,1
P0813,T3,70,4,5
P0814,T3,81,2,3
P0815,T3,45,2,3
P0816,T3,71,2,3
P0817,T3,10,1,2
P0818,T3,13,0,2
P0819,T3,38,1,2
P0820,T3,69,0,1
P0821,T3,13,0,2
P0822,T3,71,0,1
P0823,T3,3,0,1
P0824,T3,81,2,3
P0825,T3,77,3,4
P0826,T3,70,0,1
P0827,T3,73,2,3
P0828,T3,53,0,3
P0829,T3,70,0,1
P0830,T3,89,1,2
P0831,T3,70,0,1
P0832,T3,1,2,3
P0833,T3,84,0,2
P0834,T3,85,0,2
P0835,T3,10,0,1
P0836,T3,73,3,4
P0837,T3,89,1,2
P0838,T3,71,0,1
P0839,T3,32,2,5
P0840,T3,73,3,4
P0841,T1,1,2,3
P0842,T3,38,1,2
P0843,T3,81,0,2
P0844,T3,43,1,2
P0845,T3,33,0,1
P0846,T3,47,4,5
P0847,T3,3,1,2
P0848,T3,82,0,1
P0849,T3,8,0,1
P0850,T3,37,1,3
P0851,T3,14,0,1
P0852,T3,32,2,5
P0853,T3,77,3,4
P0854,T3,73,5,6
P0855,T3,78,0,1
P0856,T3,88,0,3
P0857,T3,55,0,1
P0858,T3,90,3,5
P0859,T3,75,3,4
P0860,T3,9,0,1
P0861,T3,76,2,3
P0862,T3,40,0,1
P0863,T3,15,0,2
P0864,T3,32,5,6
P0865,T3,83,0,1
P0866,T3,11,1,2
P0867,T3,5,1,2
P0868,T3,77,0,1
P0869,T3,81,0,2
P0870,T3,19,0,2
P0871,T3,5,1,2
P0872,T3,73,0,1
P0873,T3,65,1,2
P0874,T3,84,4,5
P0875,T3,66,1,3
P0876,T3,70,2,3
P0877,T3,31,3,4
P0878,T2,4,2,3
P0879,T3,6,0,1
P0880,T3,77,0,1
P0881,T3,59,4,6
P0882,T3,2,2,3
P0883,T3,46,2,3
P0884,T3,77,3,4
P0885,T3,5,1,2
P0886,T3,64,1,3
P0887,T3,10,1,2
P0888,T3,73,0,1
P0889,T3,73,0,1
P0890,T3,1,1,2
P0891,T3,22,4,6
P0892,T3,81,2,3
P0893,T3,14,0,1
P0894,T3,70,0,1
P0895,T3,1,1,2
P0896,T3,62,0,2
P0897,T3,55,0,1
P0898,T3,73,2,3
P0899,T3,20,4,6
P0900,T3,22,4,6
P0901,T3,8,2,3
P0902,T1,2,2,4
P0903,T3,2,1,2
P0904,T3,88,0,3
P0905,T3,70,1,4
P0906,T3,2,2,3
P0907,T3,6,2,3
P0908,T3,5,0,1
P0909,T3,37,0,1
P0910,T3,46,2,3
P0911,T3,74,0,1
P0912,T3,19,0,2
P0913,T3,75,3,4
P0914,T3,91,2,5
P0915,T3,90,3,5
P0916,T3,83,0,1
P0917,T3,47,4,5
P0918,T3,2,0,1
P0919,T3,12,2,3
P0920,T3,71,2,3
P0921,T3,73,0,1
P0922,T3,39,1,2
P0923,T3,3,0,1
P0924,T3,22,4,6
P0925,T3,1,0,1
P0926,T3,41,0,1
P0927,T3,1,1,2
P0928,T3,50,2,3
P0929,T3,50,2,3
P0930,T3,38,1,2
P0931,T3,66,2,4
P0932,T3,81,2,3
P0933,T3,81,0,2
P0934,T3,76,2,3
P0935,T3,31,3,4
P0936,T3,31,3,4
P0937,T3,73,1,2
P0938,T3,50,2,3
P0939,T3,20,4,6
P0940,T3,75,2,3
P0941,T3,66,2,4
P0942,T3,38,1,2
P0943,T3,31,2,3
P0944,T3,91,2,5
P0945,T3,6,2,3
P0946,T3,35,0,1
P0947,T3,6,2,3
P0948,T3,70,0,1
P0949,T3,13,2,3
P0950,T3,23,0,1
P0951,T3,74,3,4
P0952,T3,81,0,2
P0953,T3,48,0,2
P0954,T3,45,2,3
P0955,T3,53,0,3
P0956,T3,71,3,4
P0957,T3,35,0,1
P0958,T3,32,5,6
P0959,T3,6,4,5
P0960,T3,32,5,6
P0961,T3,73,2,3
P0962,T3,52,0,2
P0963,T3,77,1,3
P0964,T3,37,5,6
P0965,T3,82,0,1
P0966,T2,5,2,3
P0967,T3,70,2,3
P0968,T3,73,5,6
P0969,T3,20,0,2
P0970,T3,73,3,4
P0971,T3,59,4,6
P0972,T3,9,1,2
P0973,T3,78,3,4
P0974,T1,1,1,2
P0975,T3,40,0,1
P0976,T3,83,1,2
P0977,T3,12,2,3
P0978,T3,6,0,1
P0979,T3,50,2,3
P0980,T3,74,0,1
P0981,T3,73,1,2
P0982,T3,9,1,2
P0983,T3,75,3,4
P0984,T3,72,2,3
P0985,T3,83,0,1
P0986,T3,40,0,1
P0987,T3,52,0,2
P0988,T3,74,1,2
P0989,T3,32,5,6
P0990,T3,77,1,3
P0991,T3,32,5,6
P0992,T3,37,0,1
P0993,T3,69,0,1
P0994,T3,81,0,2
P0995,T3,46,0,1
P0996,T3,83,1,2
P0997,T3,88,0,3
P0998,T3,20,0,2
P0999,T3,71,3,4
P1000,T3,18,0,2
P1001,T3,32,5,6
P1002,T3,52,4,5
P1003,T3,10,1,2
P1004,T3,77,0,1
P1005,T3,31,0,1
P1006,T3,6,0,1
P1007,T3,39,0,1
P1008,T3,41,1,2
P1009,T3,74,0,1
P1010,T2,4,2,3
P1011,T2,1,0,2
P1012,T3,89,1,2
P1013,T3,69,1,2
P1014,T3,32,5,6
P1015,T3,35,1,2
P1016,T3,70,0,1
P1017,T3,1,2,3
P1018,T3,40,0,1
P1019,T2,6,1,2
P1020,T3,83,1,2
P1021,T3,100,2,3
P1022,T3,4,0,1
P1023,T3,32,4,5
P1024,T3,10,1,2
P1025,T3,70,0,1
P1026,T1,1,4,5
P1027,T3,6,4,5
P1028,T3,73,3,4
P1029,T3,11,1,2
P1030,T3,4,1,2
P1031,T3,50,0,1
P1032,T3,89,1,2
P1033,T3,31,2,3
P1034,T2,2,3,5
P1035,T3,84,0,2
P1036,T3,2,0,1
P1037,T3,69,1,2
P1038,T3,89,1,2
P1039,T3,65,1,2
P1040,T3,81,2,3
P1041,T3,75,2,3
P1042,T3,74,0,1
P1043,T3,75,2,3
P1044,T3,1,2,3
P1045,T3,78,3,4
P1046,T1,1,4,5
P1047,T3,1,2,3
P1048,T3,55,0,1
P1049,T3,56,0,2
P1050,T3,82,0,1
P1051,T3,9,1,2
P1052,T3,5,0,1
P1053,T3,16,2,3
P1054,T3,32,5,6
P1055,T3,79,1,2
P1056,T3,62,0,2
P1057,T3,27,1,2
P1058,T3,59,4,6
P1059,T3,39,1,2
P1060,T3,15,2,4
P1061,T3,11,1,2
P1062,T3,5,1,2
P1063,T3,93,0,5
P1064,T3,36,4,6
P1065,T3,8,2,3
P1066,T3,1,1,2
P1067,T2,6,1,2
P1068,T3,46,0,1
P1069,T3,36,4,6
P1070,T3,32,4,5
P1071,T3,41,0,1
