person_id,aircraft_id,flight_no,pickup_stop_order,delivery_stop_order
P0164,A02-T2-H03,7,2,3
P0165,A03-T3-H03,5,1,3
P0166,A03-T3-H02,5,0,2
P0167,A01-T1-H01,3,1,3
P0168,A02-T2-H04,6,2,4
P0169,A02-T2-H01,5,0,1
P0170,A01-T2-H03,5,2,3
P0171,A02-T3-H02,6,4,5
P0172,A03-T3-H01,10,0,1
P0173,A02-T3-H02,3,3,4
P0174,A01-T3-H01,3,0,1
P0175,A03-T3-H01,4,4,5
P0176,A02-T2-H04,1,1,2
P0177,A01-T2-H01,9,0,1
P0178,A03-T2-H01,6,1,2
P0179,A02-T2-H04,5,2,3
P0180,A02-T2-H03,1,1,2
P0181,A01-T1-H01,9,2,4
P0182,A03-T3-H02,11,2,3
P0183,A03-T3-H02,5,1,5
P0184,A03-T2-H01,14,0,2
P0185,A02-T3-H02,6,4,5
P0186,A01-T1-H02,1,0,3
P0187,A03-T2-H03,3,3,4
P0188,A02-T2-H02,8,0,1
P0189,A03-T3-H01,1,1,2
P0190,A02-T2-H01,2,1,3
P0191,A03-T2-H01,11,0,2
P0192,A02-T3-H01,2,0,1
P0193,A02-T2-H02,2,0,2
P0194,A01-T3-H01,8,1,2
P0195,A01-T2-H02,7,2,3
P0196,A03-T2-H01,8,2,3
P0197,A03-T2-H02,5,2,3
P0198,A02-T2-H02,8,1,2
P0199,A03-T3-H02,5,0,1
P0200,A03-T2-H01,11,2,3
P0201,A01-T3-H02,1,4,5
P0202,A01-T2-H02,1,2,3
P0203,A02-T3-H01,9,0,1
P0204,A02-T2-H01,8,2,4
P0205,A01-T2-H01,6,1,2
P0206,A03-T2-H03,3,0,3
P0207,A02-T2-H02,9,3,4
P0208,A03-T3-H03,3,1,2
P0209,A02-T2-H02,1,0,1
P0210,A03-T3-H03,11,1,2
P0211,A02-T2-H03,1,2,3
P0212,A01-T3-H01,3,2,3
P0213,A02-T2-H03,6,0,1
P0214,A02-T2-H03,4,0,2
P0215,A03-T3-H01,15,0,1
P0216,A02-T2-H03,3,0,2
P0217,A02-T2-H03,7,2,3
P0218,A02-T1-H01,6,1,2
P0219,A02-T3-H02,5,1,3
P0220,A03-备用-01,1,1,3
P0221,A02-T2-H04,4,0,1
P0222,A02-T3-H01,6,0,1
P0223,A01-T2-H02,6,5,6
P0224,A03-T3-H02,4,2,4
P0225,A01-T3-H02,10,1,3
P0226,A02-T1-H01,5,0,2
P0227,A03-T3-H03,1,0,2
P0228,A01-T2-H01,3,0,2
P0229,A01-T2-H03,3,0,2
P0230,A02-T2-H02,2,0,2
P0231,A01-T2-H01,2,1,3
P0232,A02-T2-H03,2,1,4
P0233,A01-T2-H01,12,1,3
P0234,A03-T2-H02,2,1,3
P0235,A01-T2-H01,3,2,3
P0236,A03-T3-H03,8,2,3
P0237,A01-T2-H02,4,3,4
P0238,A03-T3-H03,3,0,1
P0239,A01-T2-H01,3,0,2
P0240,A01-T3-H01,2,0,3
P0241,A02-T2-H01,11,0,2
P0242,A02-T2-H04,5,2,3
P0243,A01-T2-H02,5,1,2
P0244,A01-T2-H03,5,0,2
P0245,A03-T2-H01,11,0,2
P0246,A03-T2-H01,11,2,3
P0247,A01-T2-H03,7,0,2
P0248,A03-T2-H02,1,1,4
P0249,A02-T2-H01,7,0,1
P0250,A01-T1-H02,4,2,3
P0251,A03-T2-H01,6,4,6
P0252,A01-T3-H01,8,0,1
P0253,A02-T2-H01,1,0,1
P0254,A02-T3-H02,5,0,1
P0255,A03-T2-H03,3,0,2
P0256,A02-T2-H04,5,2,3
P0257,A01-T2-H02,6,0,1
P0258,A02-T2-H03,3,2,3
P0259,A03-T3-H03,2,0,2
P0260,A03-T3-H02,1,0,1
P0261,A03-T3-H03,11,1,2
P0262,A03-T3-H03,11,1,2
P0263,A03-备用-02,2,1,2
P0264,A03-T2-H02,6,2,3
P0265,A03-T3-H02,7,1,2
P0266,A01-T2-H01,3,0,2
P0267,A01-T2-H02,6,0,2
P0268,A02-T3-H02,10,0,1
P0269,A01-T2-H03,9,0,2
P0270,A03-T3-H01,2,1,2
P0271,A03-T3-H01,15,1,2
P0272,A02-T2-H01,4,0,2
P0273,A03-T3-H01,10,2,4
P0274,A03-T3-H02,3,1,2
P0275,A01-T2-H01,7,0,1
P0276,A03-T3-H03,10,1,2
P0277,A03-T3-H01,5,2,5
P0278,A02-T2-H01,1,4,6
P0279,A01-T3-H01,3,2,3
P0280,A02-T3-H02,9,2,5
P0281,A01-T3-H02,1,4,5
P0282,A02-T3-H02,5,1,3
P0283,A03-T2-H01,1,3,6
P0284,A01-T3-H01,7,0,1
P0285,A03-T2-H01,3,1,3
P0286,A03-T3-H02,2,1,2
P0287,A02-T3-H01,5,1,2
P0288,A02-T3-H01,6,0,1
P0289,A02-T2-H01,4,0,2
P0290,A03-T2-H01,12,2,3
P0291,A03-T3-H02,10,2,3
P0292,A01-T2-H03,5,2,3
P0293,A01-T3-H01,7,0,1
P0294,A03-T3-H01,8,0,1
P0295,A02-T3-H02,9,1,3
P0296,A03-T2-H01,3,1,3
P0297,A02-T2-H01,2,1,3
P0298,A02-T2-H01,10,0,2
P0299,A02-T2-H04,3,0,2
P0300,A02-T3-H02,5,0,1
P0301,A02-T2-H04,6,3,6
P0302,A03-T3-H02,10,2,3
P0303,A01-T2-H03,9,0,1
P0304,A02-T2-H02,7,0,2
P0305,A02-T3-H01,7,0,2
P0306,A02-T1-H01,5,0,2
P0307,A02-T2-H03,2,0,3
P0308,A02-T3-H01,1,1,3
P0309,A03-T2-H02,13,1,2
P0310,A02-T2-H02,1,1,3
P0311,A02-T2-H02,1,0,1
P0312,A02-T3-H01,7,2,3
P0313,A03-T3-H01,5,3,4
P0314,A03-T3-H02,2,1,2
P0315,A03-T3-H02,14,1,3
P0316,A03-T3-H01,11,2,4
P0317,A01-T2-H01,5,2,3
P0318,,,,
P0319,A01-T2-H03,5,1,3
P0320,A02-T2-H01,11,0,2
P0321,A01-T1-H01,5,2,3
P0322,A02-T3-H02,3,3,4
P0323,A03-T2-H02,3,0,2
P0324,A03-T2-H01,14,2,3
P0325,A03-T3-H01,1,1,2
P0326,A03-T2-H02,9,0,2
P0327,A02-T2-H01,8,2,4
P0328,A03-T3-H03,10,1,2
P0329,A03-T3-H02,1,2,4
P0330,A03-T3-H02,5,0,1
P0331,A02-T2-H01,9,1,3
P0332,A02-T2-H01,5,0,1
P0333,A03-T2-H02,5,2,3
P0334,A02-T3-H02,10,1,6
P0335,A03-T2-H01,8,2,3
P0336,A03-T3-H02,14,1,3
P0337,A01-T2-H02,1,2,3
P0338,A03-T3-H03,3,0,1
P0339,A03-T3-H02,10,2,3
P0340,A02-T2-H03,6,1,2
P0341,A03-T3-H02,5,1,5
P0342,A01-T3-H01,7,1,3
P0343,A01-T2-H01,10,3,4
P0344,A02-T2-H01,8,0,2
P0345,A02-T2-H03,8,1,2
P0346,A02-T2-H02,9,3,4
P0347,A02-T2-H01,5,0,1
P0348,A01-T2-H01,6,5,6
P0349,A03-T2-H01,14,0,2
P0350,A02-T2-H03,8,0,1
P0351,A02-T3-H01,9,1,3
P0352,A02-T2-H04,6,3,6
P0353,A03-T3-H02,4,2,4
P0354,A02-T2-H01,3,2,3
P0355,A02-T2-H03,2,3,4
P0356,A03-T3-H02,14,1,3
P0357,A02-T2-H01,12,0,1
P0358,A02-T3-H01,4,2,3
P0359,A02-T2-H01,13,1,3
P0360,A03-T3-H01,5,2,5
P0361,A02-T3-H01,7,2,3
P0362,A02-T3-H01,3,2,3
P0363,A02-T2-H04,1,1,2
P0364,A03-T3-H01,1,1,2
P0365,A03-T3-H02,9,0,2
P0366,A03-T2-H02,13,1,2
P0367,A03-T3-H02,1,0,2
P0368,A03-T3-H03,1,0,2
P0369,A03-T2-H02,8,0,1
P0370,A01-T3-H02,4,1,2
P0371,A02-T2-H02,10,0,1
P0372,A03-T2-H02,14,2,3
P0373,A03-T3-H03,10,4,5
P0374,A02-T2-H04,3,2,3
P0375,A01-T2-H03,2,0,1
P0376,A02-T3-H01,5,0,2
P0377,A03-T3-H03,2,0,1
P0378,A03-T3-H01,10,1,2
P0379,A02-T2-H02,3,0,2
P0380,A01-T2-H03,9,2,3
P0381,A03-T3-H03,11,1,2
P0382,A02-T2-H02,5,0,1
P0383,A03-T3-H03,7,1,2
P0384,A03-T3-H02,3,1,2
P0385,A03-T3-H03,3,0,1
P0386,A03-T3-H03,2,0,2
P0387,A02-T2-H04,5,0,2
P0388,A03-T3-H01,15,0,1
P0389,A03-T3-H03,10,4,5
P0390,A02-T2-H03,7,0,2
P0391,A03-T3-H03,1,3,4
P0392,A01-T3-H01,2,1,2
P0393,A01-T1-H02,1,0,3
P0394,A02-T2-H02,1,0,1
P0395,A01-T3-H02,9,0,5
P0396,A03-T3-H02,7,0,1
P0397,A01-T2-H03,2,1,4
P0398,A02-T2-H02,4,1,5
P0399,A03-T2-H02,1,0,3
P0400,A02-T2-H04,6,2,4
P0401,A03-T2-H02,1,0,1
P0402,A01-T2-H01,1,0,1
P0403,A02-T2-H03,5,2,3
P0404,A02-T3-H01,3,0,2
P0405,A03-T2-H02,4,3,6
P0406,A02-T2-H01,5,1,2
P0407,A02-T2-H02,3,2,3
P0408,A02-T2-H01,3,2,3
P0409,A01-T1-H01,5,0,2
P0410,A02-T2-H03,2,0,3
P0411,A01-T3-H01,1,3,4
P0412,A02-T2-H01,1,4,6
P0413,A01-T2-H02,7,2,3
P0414,A02-T2-H02,2,0,2
P0415,A02-T3-H02,5,0,1
P0416,A01-T2-H03,1,1,2
P0417,A01-T2-H02,7,0,2
P0418,A01-T3-H01,5,0,1
P0419,A01-T2-H02,7,0,2
P0420,A03-T3-H01,1,1,2
P0421,A02-T3-H02,1,0,1
P0422,A02-T2-H02,3,0,2
P0423,A01-T2-H01,12,0,1
P0424,A01-T2-H03,2,1,4
P0425,A03-T2-H02,1,3,4
P0426,A03-T3-H02,14,1,3
P0427,A02-T1-H02,2,2,3
P0428,A02-T2-H02,4,0,3
P0429,A02-T3-H01,3,2,3
P0430,A03-T3-H02,9,0,2
P0431,A01-T2-H01,6,4,6
P0432,A02-T2-H01,13,1,3
P0433,A02-T2-H03,6,0,1
P0434,A03-T3-H01,13,1,2
P0435,A03-T3-H01,15,0,1
P0436,A02-T2-H03,8,0,1
P0437,A01-T3-H01,6,1,2
P0438,A02-T3-H02,5,0,1
P0439,A01-T3-H01,5,1,2
P0440,A02-T3-H02,1,0,1
P0441,A01-T3-H01,1,3,4
P0442,A03-T3-H02,7,0,1
P0443,A03-T3-H03,3,1,2
P0444,A01-T2-H03,2,1,4
P0445,A02-T2-H03,4,0,1
P0446,A03-T2-H02,5,0,2
P0447,A02-T2-H03,4,2,3
P0448,A02-T2-H01,5,0,1
P0449,A02-T2-H04,3,0,2
P0450,A02-T3-H01,2,0,1
P0451,A02-T3-H01,3,0,2
P0452,A02-T2-H01,9,2,3
P0453,A01-T2-H03,3,0,2
P0454,A01-T2-H03,6,0,1
P0455,A03-T3-H01,4,0,1
P0456,A02-T3-H01,9,0,1
P0457,A03-T2-H03,9,2,3
P0458,A02-T2-H03,8,0,1
P0459,A02-T3-H02,6,0,4
P0460,A02-T2-H02,9,0,2
P0461,A03-T3-H02,10,2,3
P0462,A03-T2-H02,5,0,2
P0463,A01-T3-H02,3,3,4
P0464,A01-T2-H02,8,1,3
P0465,A03-T2-H02,14,0,2
P0466,A03-T2-H01,8,2,3
P0467,A03-T3-H02,14,0,2
P0468,A02-T2-H02,8,1,2
P0469,A03-T3-H02,7,1,2
P0470,A02-T2-H04,4,0,1
P0471,A03-T2-H02,6,2,3
P0472,A02-T2-H01,1,0,1
P0473,A03-T3-H03,11,1,2
P0474,A01-T2-H02,4,3,4
P0475,A02-T3-H02,2,0,3
P0476,A01-T2-H03,9,0,2
P0477,A03-T3-H03,1,2,3
P0478,A03-T3-H03,3,1,2
P0479,A02-T2-H01,12,0,1
P0480,A01-T2-H02,1,0,2
P0481,A02-T3-H01,7,2,3
P0482,A01-T2-H01,12,0,1
P0483,A03-T2-H03,3,3,4
P0484,A01-T1-H01,5,0,2
P0485,A02-T3-H02,10,3,5
P0486,A01-T3-H01,5,1,2
P0487,A02-T2-H02,3,2,3
P0488,A02-T2-H02,2,2,3
P0489,A01-T3-H02,10,1,3
P0490,A02-T2-H01,4,0,2
P0491,A01-T3-H02,3,3,4
P0492,A02-T2-H01,7,0,1
P0493,A02-T2-H01,1,0,4
P0494,A03-T2-H01,8,2,3
P0495,A03-T3-H01,4,4,5
P0496,A03-T2-H02,8,0,1
P0497,A03-T3-H03,1,3,4
P0498,A02-T3-H02,1,1,2
P0499,A02-T2-H03,2,0,3
P0500,A03-T3-H03,2,4,5
P0501,A02-T2-H02,1,0,1
P0502,A03-T2-H02,5,0,2
P0503,A03-T3-H02,3,1,2
P0504,A03-T2-H03,2,2,3
P0505,A02-T2-H02,7,0,2
P0506,A01-T2-H02,7,2,3
P0507,A03-T3-H03,7,1,2
P0508,A01-T2-H01,10,1,4
P0509,A03-T3-H02,1,1,2
P0510,A01-T2-H01,3,0,2
P0511,A02-T2-H02,7,0,2
P0512,A01-T2-H03,4,0,1
P0513,A01-T1-H01,5,0,2
P0514,A03-T2-H02,11,1,6
P0515,A01-T2-H01,9,1,2
P0516,A03-T3-H02,14,1,3
P0517,A03-T3-H03,2,4,5
P0518,A01-T3-H01,1,3,4
P0519,A03-T3-H03,1,0,2
P0520,A03-T3-H03,2,0,3
P0521,A02-T2-H02,2,0,2
P0522,A02-T2-H02,7,0,2
P0523,A03-T3-H03,3,1,2
P0524,A01-T2-H01,12,1,3
P0525,A01-T3-H01,7,0,2
P0526,A03-T2-H03,7,1,2
P0527,A01-T3-H01,2,1,2
P0528,A01-T2-H02,6,0,1
P0529,A03-T3-H03,5,1,3
P0530,A03-T2-H01,14,0,2
P0531,A02-T2-H02,9,2,6
P0532,A02-T3-H01,9,1,3
P0533,A02-T2-H01,3,2,3
P0534,A02-T3-H01,7,2,3
P0535,A01-T3-H01,3,0,1
P0536,A03-T3-H02,14,2,4
P0537,A02-T2-H01,3,0,2
P0538,A01-T2-H03,1,1,2
P0539,A02-T2-H01,1,4,6
P0540,A03-T3-H02,5,0,2
P0541,A03-T2-H02,5,0,2
P0542,A02-T2-H01,13,0,1
P0543,A02-T2-H01,2,1,3
P0544,A02-T2-H01,12,1,2
P0545,A02-T2-H01,12,1,2
P0546,A02-T2-H03,7,0,2
P0547,A03-T3-H02,12,0,2
P0548,A01-T3-H01,9,1,3
P0549,A03-T3-H03,11,1,2
P0550,A02-T2-H02,1,0,1
P0551,A03-T3-H02,4,3,4
P0552,A03-T2-H02,8,0,1
P0553,A02-T3-H02,6,4,5
P0554,A02-T2-H01,7,1,2
P0555,A02-T2-H04,3,2,3
P0556,A03-T3-H01,11,1,2
P0557,A03-T3-H03,3,1,2
P0558,A03-T3-H03,2,0,2
P0559,A02-T2-H01,4,0,2
P0560,A01-T3-H01,6,1,2
P0561,A01-T2-H01,3,0,2
P0562,A02-T2-H01,12,0,1
P0563,A02-T2-H03,6,1,2
P0564,A01-T2-H03,5,2,3
P0565,A02-T2-H02,4,0,3
P0566,A03-T3-H02,7,0,1
P0567,A03-T3-H01,6,0,2
P0568,A03-T2-H01,4,0,2
P0569,A03-T2-H01,6,1,2
P0570,A01-T1-H01,5,0,2
P0571,A02-T2-H04,5,2,3
P0572,A02-T2-H01,1,0,4
P0573,A03-T3-H03,3,0,1
P0574,A02-T2-H02,7,0,2
P0575,A01-T2-H02,8,0,1
P0576,A02-T2-H02,9,3,4
P0577,A01-T2-H01,6,4,6
P0578,A01-T3-H02,10,1,3
P0579,A03-T3-H02,3,1,2
P0580,A02-T2-H04,5,0,2
P0581,A02-T2-H01,3,2,3
P0582,A03-T3-H02,7,0,1
P0583,A01-T2-H03,2,0,1
P0584,A01-T2-H03,7,0,2
P0585,A02-T2-H01,1,1,2
P0586,A01-T2-H01,6,4,6
P0587,A02-T2-H03,6,1,2
P0588,A03-T3-H03,2,0,3
P0589,A02-T3-H02,1,1,2
P0590,A03-T3-H01,4,4,5
P0591,A02-T2-H02,1,1,3
P0592,A02-T3-H01,4,2,3
P0593,A03-T2-H01,8,2,3
P0594,A02-T2-H04,6,3,6
P0595,A01-T1-H01,5,2,3
P0596,A02-T2-H04,3,2,3
P0597,A02-T2-H02,1,1,3
P0598,A01-T2-H01,12,0,2
P0599,A02-T2-H04,5,0,2
P0600,A02-T2-H01,11,0,2
P0601,A03-T3-H03,2,0,3
P0602,A01-T2-H03,4,0,1
P0603,A03-T3-H02,14,1,3
P0604,A01-T3-H02,1,4,5
P0605,A01-T1-H01,5,0,2
P0606,A01-T2-H02,6,1,6
P0607,A01-T2-H02,8,0,1
P0608,A02-T2-H03,3,2,3
P0609,A03-T3-H01,15,1,2
P0610,A03-T2-H03,2,0,2
P0611,A02-T2-H01,10,0,2
P0612,A02-T3-H02,1,0,1
P0613,A01-T2-H01,7,0,1
P0614,A01-T3-H02,7,1,2
P0615,A02-T2-H01,2,1,3
P0616,A02-T2-H02,3,0,2
P0617,A03-T3-H01,8,0,1
P0618,A02-T2-H02,3,0,2
P0619,A01-T2-H01,3,0,2
P0620,A02-T2-H02,2,0,2
P0621,A01-T3-H02,2,1,2
P0622,A01-T2-H03,1,0,1
P0623,A01-T3-H02,10,1,3
P0624,A03-T3-H01,4,4,5
P0625,A01-T2-H01,12,2,3
P0626,A02-T3-H02,1,1,2
P0627,A02-T2-H02,1,1,3
P0628,A01-T2-H03,6,0,1
P0629,A02-T2-H03,2,1,4
P0630,A01-T3-H01,7,2,3
P0631,A01-T3-H02,9,0,5
P0632,A01-T2-H03,5,0,1
P0633,A01-T3-H01,8,1,2
P0634,A02-T2-H01,11,0,2
P0635,A02-T3-H02,1,0,1
P0636,A01-T3-H02,3,3,4
P0637,A01-T1-H01,5,0,2
P0638,A03-T3-H01,8,0,1
P0639,A02-T2-H04,5,2,3
P0640,A02-T1-H01,2,3,6
P0641,A01-T2-H01,3,0,2
P0642,A01-T2-H01,10,0,3
P0643,A03-T3-H01,6,0,2
P0644,A01-T2-H03,7,0,2
P0645,A03-T3-H03,4,1,2
P0646,A03-T2-H01,14,2,3
P0647,A01-T2-H01,12,0,1
P0648,A01-T2-H02,7,0,2
P0649,A03-T2-H03,2,2,3
P0650,A01-T2-H01,8,2,3
P0651,A03-T2-H02,14,2,3
P0652,A01-T2-H01,10,0,1
P0653,A02-T3-H02,6,4,5
P0654,A02-T2-H01,4,2,3
P0655,A03-T3-H03,3,0,1
P0656,A02-T2-H02,2,2,3
P0657,A03-T3-H03,1,0,2
P0658,A03-T2-H01,13,1,2
P0659,A01-T3-H01,4,0,1
P0660,A02-T2-H04,5,0,2
P0661,A02-T2-H01,12,0,1
P0662,A02-T2-H01,1,1,2
P0663,A01-T2-H01,6,1,2
P0664,A02-T3-H02,6,4,5
P0665,A02-T2-H04,6,0,3
P0666,A02-T2-H03,8,1,2
P0667,A03-T2-H02,5,2,3
P0668,A01-T2-H01,3,2,3
P0669,A03-T3-H01,5,3,4
P0670,A01-T1-H01,3,1,3
P0671,A03-T2-H01,2,2,5
P0672,A01-T2-H02,7,0,2
P0673,A03-T3-H02,9,0,2
P0674,A02-T3-H01,3,2,3
P0675,A02-T2-H03,1,2,3
P0676,A03-T3-H03,3,1,2
P0677,A02-T2-H04,6,0,3
P0678,A01-T3-H02,1,4,5
P0679,A01-T2-H02,1,2,3
P0680,A01-T3-H01,9,0,1
P0681,A03-T3-H01,2,1,2
P0682,A01-T2-H01,3,0,2
P0683,A03-T2-H02,9,2,4
P0684,A01-T3-H01,1,1,4
P0685,A01-T3-H01,1,0,2
P0686,A03-T2-H03,2,2,3
P0687,A01-T2-H02,1,0,2
P0688,A03-T3-H02,10,2,3
P0689,A03-T2-H02,1,0,1
P0690,A01-T3-H01,4,1,3
P0691,A02-T1-H01,5,2,3
P0692,A02-T3-H02,10,3,5
P0693,A02-T2-H01,2,0,1
P0694,A01-T2-H02,9,2,3
P0695,A02-T2-H03,8,1,2
P0696,A02-T3-H02,6,0,4
P0697,A02-T2-H02,7,0,2
P0698,A01-T3-H02,3,0,2
P0699,,,,
P0700,A02-T2-H01,4,0,2
P0701,A01-T2-H01,6,1,2
P0702,A01-T3-H01,2,1,2
P0703,A02-T2-H03,4,0,1
P0704,A03-T3-H02,7,0,1
P0705,A01-T3-H02,3,1,2
P0706,A02-T2-H02,2,2,3
P0707,A01-T3-H01,3,0,1
P0708,A01-T3-H01,3,2,3
P0709,A03-T3-H01,15,0,1
P0710,A02-T3-H01,4,2,3
P0711,A02-T2-H01,2,1,3
P0712,A03-T2-H02,3,2,4
P0713,A02-T2-H03,4,2,3
P0714,A03-T3-H01,3,0,1
P0715,A01-T2-H02,6,0,1
P0716,A03-T2-H03,10,2,3
P0717,A01-T3-H01,1,3,4
P0718,A01-T3-H01,2,0,3
P0719,A02-T2-H01,10,2,4
P0720,A01-T3-H02,9,5,6
P0721,A03-T2-H02,1,0,3
P0722,A01-T2-H02,7,2,3
P0723,A02-T3-H01,2,1,2
P0724,A02-T2-H01,7,1,2
P0725,A02-T2-H04,1,1,2
P0726,A03-T2-H02,11,1,6
P0727,A01-T3-H01,4,1,3
P0728,A03-T3-H02,7,0,1
P0729,A02-T2-H03,2,0,3
P0730,A03-T3-H03,5,1,3
P0731,A02-T2-H03,6,0,1
P0732,A02-T3-H02,9,1,3
P0733,A03-T3-H03,11,1,2
P0734,A01-T2-H02,7,2,3
