person_id,origin_id,destination_id
P0148,LAND,F021
P0149,F046,LAND
P0150,F018,F026
P0151,LAND,F006
P0152,F049,F048
P0153,F052,LAND
P0154,F035,LAND
P0155,F047,LAND
P0156,F044,LAND
P0157,F001,LAND
P0158,LAND,F006
P0159,LAND,F029
P0160,F003,LAND
P0161,F016,F005
P0162,F036,A03
P0163,F046,LAND
P0164,F032,LAND
P0165,F043,A03
P0166,LAND,F050
P0167,F010,F007
P0168,F029,F021
P0169,LAND,F030
P0170,F006,LAND
P0171,F025,LAND
P0172,LAND,F047
P0173,F023,F032
P0174,A01,F011
P0175,F043,LAND
P0176,F018,LAND
P0177,LAND,F005
P0178,F043,F051
P0179,F033,LAND
P0180,F020,F019
P0181,F002,F003
P0182,F049,LAND
P0183,F037,LAND
P0184,LAND,F051
P0185,F025,LAND
P0186,LAND,F006
P0187,F052,LAND
P0188,LAND,F031
P0189,F039,A03
P0190,F023,LAND
P0191,LAND,F046
P0192,LAND,F027
P0193,LAND,F026
P0194,F009,LAND
P0195,F013,LAND
P0196,F048,F039
P0197,F051,LAND
P0198,F031,A02
P0199,LAND,F037
P0200,F046,LAND
P0201,F001,F016
P0202,F007,LAND
P0203,LAND,F021
P0204,F019,LAND
P0205,F011,F015
P0206,LAND,F052
P0207,F029,F021
P0208,F038,LAND
P0209,LAND,F021
P0210,F039,F048
P0211,F019,F033
P0212,F005,F017
P0213,A02,F024
P0214,LAND,F022
P0215,LAND,F036
P0216,LAND,F033
P0217,F032,LAND
P0218,F031,F021
P0219,F021,LAND
P0220,F042,LAND
P0221,A02,F031
P0222,LAND,F027
P0223,F004,LAND
P0224,F049,LAND
P0225,F003,F007
P0226,A02,F029
P0227,LAND,F041
P0228,LAND,F012
P0229,LAND,F013
P0230,A02,F026
P0231,F001,LAND
P0232,F022,LAND
P0233,F016,A01
P0234,F039,F052
P0235,F012,LAND
P0236,F047,LAND
P0237,F007,F002
P0238,LAND,F038
P0239,A01,F012
P0240,A01,F006
P0241,LAND,F028
P0242,F033,A02
P0243,F017,LAND
P0244,LAND,F006
P0245,LAND,F046
P0246,F046,A03
P0247,A01,F012
P0248,F036,LAND
P0249,LAND,F020
P0250,F010,A01
P0251,F047,LAND
P0252,A01,F009
P0253,LAND,F018
P0254,LAND,F021
P0255,LAND,F048
P0256,F033,LAND
P0257,LAND,F003
P0258,F033,LAND
P0259,LAND,F044
P0260,A03,F037
P0261,F039,F048
P0262,F039,F048
P0263,F052,F048
P0264,F039,LAND
P0265,F044,LAND
P0266,LAND,F012
P0267,A01,F006
P0268,LAND,F022
P0269,LAND,F015
P0270,F038,F045
P0271,F036,LAND
P0272,LAND,F028
P0273,F049,LAND
P0274,F044,LAND
P0275,LAND,F016
P0276,F036,F049
P0277,F050,LAND
P0278,F019,LAND
P0279,F005,F017
P0280,F018,LAND
P0281,F001,F016
P0282,F021,LAND
P0283,F037,LAND
P0284,LAND,F011
P0285,F040,F041
P0286,F036,LAND
P0287,F027,F021
P0288,LAND,F027
P0289,LAND,F028
P0290,F047,LAND
P0291,F051,F038
P0292,F006,LAND
P0293,A01,F011
P0294,A03,F042
P0295,F030,F026
P0296,F040,F041
P0297,F023,LAND
P0298,LAND,F023
P0299,LAND,F029
P0300,LAND,F021
P0301,F035,LAND
P0302,F051,F038
P0303,LAND,F014
P0304,LAND,F026
P0305,LAND,F034
P0306,LAND,F029
P0307,A02,F024
P0308,F021,F027
P0309,F052,F048
P0310,F021,A02
P0311,LAND,F021
P0312,F034,LAND
P0313,F042,F040
P0314,F036,A03
P0315,F037,F044
P0316,F048,LAND
P0317,F008,F003
P0318,F023,F032
P0319,F004,LAND
P0320,LAND,F028
P0321,F015,LAND
P0322,F023,F032
P0323,LAND,F049
P0324,F051,A03
P0325,F039,LAND
P0326,LAND,F041
P0327,F019,LAND
P0328,F036,F049
P0329,F040,A03
P0330,LAND,F037
P0331,F018,LAND
P0332,LAND,F030
P0333,F051,LAND
P0334,F022,LAND
P0335,F048,F039
P0336,F037,F044
P0337,F007,LAND
P0338,LAND,F038
P0339,F051,F038
P0340,F024,LAND
P0341,F037,LAND
P0342,F011,LAND
P0343,F010,LAND
P0344,LAND,F019
P0345,F020,LAND
P0346,F029,F021
P0347,LAND,F030
P0348,F016,LAND
P0349,LAND,F051
P0350,LAND,F020
P0351,F021,LAND
P0352,F035,LAND
P0353,F049,LAND
P0354,F025,LAND
P0355,F024,LAND
P0356,F037,F044
P0357,LAND,F030
P0358,F026,F033
P0359,F019,LAND
P0360,F050,LAND
P0361,F034,LAND
P0362,F034,LAND
P0363,F018,LAND
P0364,F039,LAND
P0365,LAND,F045
P0366,F052,F048
P0367,LAND,F040
P0368,A03,F041
P0369,LAND,F036
P0370,F014,A01
P0371,LAND,F018
P0372,F052,A03
P0373,F038,F039
P0374,F029,LAND
P0375,LAND,F010
P0376,LAND,F021
P0377,LAND,F041
P0378,F047,F049
P0379,A02,F032
P0380,F015,LAND
P0381,F039,F048
P0382,LAND,F018
P0383,F050,F043
P0384,F044,LAND
P0385,LAND,F038
P0386,A03,F044
P0387,LAND,F033
P0388,LAND,F036
P0389,F038,F039
P0390,LAND,F032
P0391,F045,A03
P0392,F004,F007
P0393,LAND,F006
P0394,LAND,F021
P0395,LAND,F010
P0396,LAND,F044
P0397,F010,LAND
P0398,F025,F027
P0399,LAND,F038
P0400,F029,F021
P0401,A03,F036
P0402,LAND,F001
P0403,F028,LAND
P0404,LAND,F034
P0405,F050,A03
P0406,F030,LAND
P0407,F032,LAND
P0408,F025,LAND
P0409,LAND,F015
P0410,LAND,F024
P0411,F006,LAND
P0412,F019,LAND
P0413,F013,LAND
P0414,LAND,F026
P0415,LAND,F021
P0416,F005,LAND
P0417,LAND,F013
P0418,LAND,F017
P0419,A01,F013
P0420,F039,LAND
P0421,LAND,F020
P0422,LAND,F032
P0423,LAND,F016
P0424,F010,LAND
P0425,F038,LAND
P0426,F037,F044
P0427,F022,LAND
P0428,LAND,F035
P0429,F034,LAND
P0430,LAND,F045
P0431,F001,LAND
P0432,F019,LAND
P0433,A02,F024
P0434,F052,F048
P0435,LAND,F036
P0436,LAND,F020
P0437,F016,F005
P0438,LAND,F021
P0439,F017,F014
P0440,LAND,F020
P0441,F006,LAND
P0442,A03,F044
P0443,F038,LAND
P0444,F010,LAND
P0445,LAND,F018
P0446,LAND,F051
P0447,F022,LAND
P0448,A02,F030
P0449,LAND,F029
P0450,LAND,F027
P0451,LAND,F034
P0452,F026,LAND
P0453,LAND,F013
P0454,LAND,F008
P0455,LAND,F042
P0456,LAND,F021
P0457,F048,LAND
P0458,LAND,F020
P0459,LAND,F025
P0460,LAND,F022
P0461,F051,F038
P0462,LAND,F051
P0463,F011,LAND
P0464,F001,LAND
P0465,A03,F052
P0466,F048,F039
P0467,LAND,F050
P0468,F031,A02
P0469,F044,A03
P0470,LAND,F031
P0471,F039,A03
P0472,LAND,F018
P0473,F039,F048
P0474,F007,F002
P0475,LAND,F024
P0476,A01,F015
P0477,F041,F045
P0478,F038,LAND
P0479,LAND,F030
P0480,LAND,F007
P0481,F034,LAND
P0482,LAND,F016
P0483,F052,LAND
P0484,A01,F015
P0485,F032,F025
P0486,F017,F014
P0487,F032,A02
P0488,F026,A02
P0489,F003,F007
P0490,LAND,F028
P0491,F011,LAND
P0492,LAND,F020
P0493,LAND,F019
P0494,F048,F039
P0495,F043,LAND
P0496,LAND,F036
P0497,F045,LAND
P0498,F020,LAND
P0499,A02,F024
P0500,F048,LAND
P0501,LAND,F021
P0502,LAND,F051
P0503,F044,LAND
P0504,F047,LAND
P0505,LAND,F026
P0506,F013,LAND
P0507,F050,F043
P0508,F007,A01
P0509,F037,F040
P0510,LAND,F012
P0511,LAND,F026
P0512,LAND,F001
P0513,LAND,F015
P0514,F040,LAND
P0515,F005,LAND
P0516,F037,F044
P0517,F048,A03
P0518,F006,LAND
P0519,LAND,F041
P0520,LAND,F043
P0521,LAND,F026
P0522,LAND,F026
P0523,F038,A03
P0524,F016,LAND
P0525,LAND,F012
P0526,F044,F037
P0527,F004,F007
P0528,A01,F003
P0529,F043,LAND
P0530,LAND,F051
P0531,F022,A02
P0532,F021,LAND
P0533,F025,LAND
P0534,F034,LAND
P0535,LAND,F011
P0536,F050,LAND
P0537,LAND,F025
P0538,F005,LAND
P0539,F019,LAND
P0540,A03,F050
P0541,LAND,F051
P0542,A02,F019
P0543,F023,LAND
P0544,F030,LAND
P0545,F030,LAND
P0546,A02,F032
P0547,LAND,F047
P0548,F002,LAND
P0549,F039,F048
P0550,LAND,F021
P0551,F046,LAND
P0552,LAND,F036
P0553,F025,LAND
P0554,F020,A02
P0555,F029,LAND
P0556,F049,F048
P0557,F038,A03
P0558,LAND,F044
P0559,LAND,F028
P0560,F016,F005
P0561,LAND,F012
P0562,LAND,F030
P0563,F024,LAND
P0564,F006,LAND
P0565,LAND,F035
P0566,LAND,F044
P0567,LAND,F050
P0568,LAND,F045
P0569,F043,F051
P0570,A01,F015
P0571,F033,LAND
P0572,LAND,F019
P0573,LAND,F038
P0574,A02,F026
P0575,LAND,F001
P0576,F029,F021
P0577,F001,LAND
P0578,F003,F007
P0579,F044,LAND
P0580,LAND,F033
P0581,F025,LAND
P0582,LAND,F044
P0583,LAND,F010
P0584,LAND,F012
P0585,F018,F026
P0586,F001,LAND
P0587,F024,LAND
P0588,A03,F043
P0589,F020,LAND
P0590,F043,LAND
P0591,F021,LAND
P0592,F026,F033
P0593,F048,F039
P0594,F035,LAND
P0595,F015,LAND
P0596,F029,LAND
P0597,F021,LAND
P0598,LAND,F017
P0599,LAND,F033
P0600,LAND,F028
P0601,LAND,F043
P0602,LAND,F001
P0603,F037,F044
P0604,F001,F016
P0605,LAND,F015
P0606,F003,A01
P0607,LAND,F001
P0608,F033,LAND
P0609,F036,LAND
P0610,LAND,F047
P0611,A02,F023
P0612,LAND,F020
P0613,A01,F016
P0614,F015,F009
P0615,F023,LAND
P0616,LAND,F032
P0617,LAND,F042
P0618,LAND,F032
P0619,A01,F012
P0620,LAND,F026
P0621,F004,LAND
P0622,LAND,F005
P0623,F003,F007
P0624,F043,LAND
P0625,F017,LAND
P0626,F020,LAND
P0627,F021,A02
P0628,LAND,F008
P0629,F022,A02
P0630,F012,LAND
P0631,LAND,F010
P0632,LAND,F004
P0633,F009,LAND
P0634,LAND,F028
P0635,A02,F020
P0636,F011,LAND
P0637,A01,F015
P0638,LAND,F042
P0639,F033,LAND
P0640,F021,LAND
P0641,LAND,F012
P0642,LAND,F010
P0643,A03,F050
P0644,LAND,F012
P0645,F046,F047
P0646,F051,LAND
P0647,LAND,F016
P0648,LAND,F013
P0649,F047,LAND
P0650,F013,F002
P0651,F052,A03
P0652,LAND,F007
P0653,F025,LAND
P0654,F028,LAND
P0655,LAND,F038
P0656,F026,LAND
P0657,LAND,F041
P0658,F052,F048
P0659,LAND,F002
P0660,A02,F033
P0661,LAND,F030
P0662,F018,F026
P0663,F011,F015
P0664,F025,LAND
P0665,LAND,F035
P0666,F020,LAND
P0667,F051,LAND
P0668,F012,LAND
P0669,F042,F040
P0670,F010,F007
P0671,F037,LAND
P0672,LAND,F013
P0673,A03,F045
P0674,F034,LAND
P0675,F019,F033
P0676,F038,LAND
P0677,LAND,F035
P0678,F001,F016
P0679,F007,LAND
P0680,LAND,F002
P0681,F038,F045
P0682,LAND,F012
P0683,F041,LAND
P0684,F002,LAND
P0685,LAND,F007
P0686,F047,LAND
P0687,LAND,F007
P0688,F051,F038
P0689,LAND,F036
P0690,F002,LAND
P0691,F029,LAND
P0692,F032,F025
P0693,LAND,F023
P0694,F017,LAND
P0695,F020,LAND
P0696,LAND,F025
P0697,LAND,F026
P0698,LAND,F008
P0699,F001,LAND
P0700,LAND,F028
P0701,F011,F015
P0702,F004,F007
P0703,LAND,F018
P0704,LAND,F044
P0705,F003,F008
P0706,F026,LAND
P0707,LAND,F011
P0708,F005,F017
P0709,A03,F036
P0710,F026,F033
P0711,F023,LAND
P0712,F049,LAND
P0713,F022,LAND
P0714,LAND,F039
P0715,LAND,F003
P0716,F047,LAND
P0717,F006,LAND
P0718,LAND,F006
P0719,F023,LAND
P0720,F010,LAND
P0721,LAND,F038
P0722,F013,LAND
P0723,F027,LAND
P0724,F020,LAND
P0725,F018,LAND
P0726,F040,LAND
P0727,F002,LAND
P0728,LAND,F044
P0729,A02,F024
P0730,F043,LAND
P0731,LAND,F024
P0732,F030,F026
P0733,F039,F048
P0734,F013,LAND
P0735,LAND,F003
P0736,F014,LAND
P0737,F017,F014
P0738,LAND,F032
P0739,F021,F027
P0740,F003,F007
P0741,LAND,F045
P0742,F001,LAND
P0743,LAND,F034
P0744,LAND,F033
P0745,F007,LAND
P0746,LAND,F027
P0747,LAND,F007
P0748,F043,A03
P0749,F027,F021
P0750,LAND,F022
P0751,LAND,F027
P0752,F027,LAND
P0753,F003,F007
P0754,F036,LAND
P0755,LAND,F035
P0756,F032,LAND
P0757,LAND,F018
P0758,F038,LAND
P0759,F025,LAND
P0760,F004,F007
P0761,A02,F033
P0762,F007,LAND
P0763,F051,A03
P0764,F043,F051
P0765,F015,F009
P0766,F049,LAND
P0767,LAND,F027
P0768,LAND,F044
P0769,F020,LAND
P0770,F044,F037
P0771,F018,LAND
P0772,F050,F043
P0773,LAND,F052
P0774,F025,LAND
P0775,F003,A01
P0776,LAND,F045
P0777,F039,F048
P0778,LAND,F043
P0779,F008,LAND
P0780,F014,LAND
P0781,A03,F045
P0782,LAND,F022
P0783,F041,F045
P0784,F049,F048
P0785,LAND,F013
P0786,A01,F007
P0787,F048,LAND
P0788,LAND,F047
P0789,F002,LAND
P0790,F014,LAND
P0791,F021,LAND
P0792,LAND,F018
P0793,LAND,F052
P0794,LAND,F041
P0795,F046,F047
P0796,LAND,F001
P0797,LAND,F051
P0798,F013,F002
P0799,A02,F034
P0800,LAND,F022
P0801,LAND,F045
P0802,F044,F037
P0803,F034,A02
P0804,F006,LAND
P0805,LAND,F045
P0806,F003,F008
P0807,F006,LAND
P0808,A02,F034
P0809,LAND,F027
P0810,F024,A02
P0811,F020,LAND
P0812,A01,F007
P0813,F048,LAND
P0814,F049,LAND
P0815,F029,LAND
P0816,F043,F051
P0817,F010,LAND
P0818,LAND,F008
P0819,F020,LAND
P0820,LAND,F038
P0821,LAND,F008
P0822,LAND,F044
P0823,LAND,F011
P0824,F049,LAND
P0825,F041,LAND
P0826,LAND,F045
P0827,F046,F047
P0828,LAND,F033
P0829,LAND,F045
P0830,F036,A03
P0831,LAND,F045
P0832,F007,LAND
P0833,LAND,F052
P0834,LAND,F046
P0835,LAND,F010
P0836,F047,F049
P0837,F036,LAND
P0838,A03,F044
P0839,F021,F027
P0840,F047,F049
P0841,F007,F002
P0842,F020,LAND
P0843,LAND,F049
P0844,F022,LAND
P0845,LAND,F031
P0846,F019,LAND
P0847,F011,F015
P0848,A03,F043
P0849,LAND,F014
P0850,F022,F033
P0851,LAND,F007
P0852,F021,F027
P0853,F041,LAND
P0854,F038,LAND
P0855,LAND,F039
P0856,A03,F051
P0857,LAND,F027
P0858,F040,LAND
P0859,F045,A03
P0860,LAND,F009
P0861,F042,F040
P0862,LAND,F021
P0863,LAND,F006
P0864,F027,LAND
P0865,A03,F050
P0866,F001,LAND
P0867,F004,F007
P0868,A03,F040
P0869,LAND,F049
P0870,LAND,F013
P0871,F004,F007
P0872,LAND,F036
P0873,F028,F018
P0874,F046,LAND
P0875,F031,F021
P0876,F051,F038
P0877,F033,A02
P0878,F010,F007
P0879,LAND,F005
P0880,LAND,F040
P0881,F023,LAND
P0882,F016,LAND
P0883,F034,LAND
P0884,F041,LAND
P0885,F004,F007
P0886,F020,F019
P0887,F010,LAND
P0888,LAND,F036
P0889,LAND,F036
P0890,F003,F007
P0891,F002,LAND
P0892,F049,LAND
P0893,LAND,F007
P0894,LAND,F045
P0895,F003,F007
P0896,LAND,F034
P0897,A02,F027
P0898,F046,F047
P0899,F005,LAND
P0900,F002,LAND
P0901,F017,LAND
P0902,F015,F009
P0903,F001,F016
P0904,LAND,F051
P0905,F045,F048
P0906,F016,A01
P0907,F012,F015
P0908,LAND,F004
P0909,LAND,F022
P0910,F034,LAND
P0911,LAND,F037
P0912,LAND,F013
P0913,F045,LAND
P0914,F042,LAND
P0915,F040,LAND
P0916,LAND,F050
P0917,F019,A02
P0918,A01,F001
P0919,F012,LAND
P0920,F043,F051
P0921,LAND,F036
P0922,F030,LAND
P0923,LAND,F011
P0924,F002,LAND
P0925,LAND,F003
P0926,LAND,F026
P0927,F003,F007
P0928,F031,LAND
P0929,F031,A02
P0930,F020,LAND
P0931,F032,F025
P0932,F049,LAND
P0933,LAND,F049
P0934,F042,F040
P0935,F033,LAND
P0936,F033,LAND
P0937,F036,F046
P0938,F031,LAND
P0939,F005,LAND
P0940,F041,F045
P0941,F032,F025
P0942,F020,LAND
P0943,F026,F033
P0944,F042,A03
P0945,F012,F015
P0946,LAND,F019
P0947,F012,F015
P0948,LAND,F045
P0949,F008,LAND
P0950,LAND,F016
P0951,F044,LAND
P0952,LAND,F049
P0953,LAND,F028
P0954,F029,LAND
P0955,LAND,F033
P0956,F051,LAND
P0957,A02,F019
P0958,F027,LAND
P0959,F014,LAND
P0960,F027,LAND
P0961,F046,F047
P0962,LAND,F029
P0963,F040,F041
P0964,F024,A02
P0965,LAND,F043
P0966,F013,F002
P0967,F051,F038
P0968,F038,LAND
P0969,LAND,F015
P0970,F047,F049
P0971,F023,LAND
P0972,F009,LAND
P0973,F052,LAND
P0974,F006,F007
P0975,LAND,F021
P0976,F050,LAND
P0977,F012,LAND
P0978,LAND,F005
P0979,F031,A02
P0980,LAND,F037
P0981,F036,F046
P0982,F009,LAND
P0983,F045,LAND
P0984,F048,F039
P0985,LAND,F050
P0986,LAND,F021
P0987,LAND,F029
P0988,F037,F040
P0989,F027,LAND
P0990,F040,F041
P0991,F027,LAND
P0992,LAND,F022
P0993,A03,F038
P0994,LAND,F049
P0995,LAND,F024
P0996,F050,LAND
P0997,LAND,F051
P0998,LAND,F015
P0999,F051,LAND
P1000,LAND,F012
P1001,F027,A02
P1002,F025,LAND
P1003,F010,LAND
P1004,LAND,F040
P1005,LAND,F018
P1006,A01,F005
P1007,LAND,F030
P1008,F026,LAND
P1009,LAND,F037
P1010,F010,F007
P1011,LAND,F008
P1012,F036,A03
P1013,F038,F039
P1014,F027,LAND
P1015,F019,F033
P1016,LAND,F045
P1017,F007,LAND
P1018,LAND,F021
P1019,F016,F005
P1020,F050,LAND
P1021,F052,F048
P1022,LAND,F002
P1023,F024,F027
P1024,F010,LAND
P1025,LAND,F045
P1026,F011,LAND
P1027,F014,LAND
P1028,F047,F049
P1029,F001,LAND
P1030,F002,F004
P1031,LAND,F023
P1032,F036,LAND
P1033,F026,F033
P1034,F005,F017
P1035,A03,F052
P1036,LAND,F001
P1037,F038,F039
P1038,F036,LAND
P1039,F028,F018
P1040,F049,LAND
P1041,F041,F045
P1042,A03,F037
P1043,F041,F045
P1044,F007,LAND
P1045,F052,LAND
P1046,F011,LAND
P1047,F007,A01
P1048,LAND,F027
P1049,LAND,F035
P1050,LAND,F043
P1051,F009,LAND
P1052,LAND,F004
P1053,F013,LAND
P1054,F027,LAND
P1055,F036,F049
P1056,LAND,F034
P1057,F009,F003
P1058,F023,A02
P1059,F030,LAND
P1060,F006,LAND
P1061,F001,LAND
P1062,F004,F007
P1063,A03,F047
P1064,F021,LAND
P1065,F017,LAND
P1066,F003,F007
P1067,F016,F005
P1068,LAND,F024
P1069,F021,LAND
P1070,F024,F027
P1071,LAND,F026
P1072,F014,F017
P1073,LAND,F047
P1074,F021,LAND
P1075,LAND,F007
P1076,LAND,F023
P1077,LAND,F029
P1078,LAND,F005
P1079,A01,F017
P1080,LAND,F015
P1081,LAND,F051
P1082,LAND,F046
P1083,F016,F005
P1084,F029,LAND
P1085,LAND,F009
P1086,LAND,F030
P1087,A03,F036
P1088,F005,LAND
P1089,F015,LAND
P1090,F023,F032
P1091,F022,LAND
P1092,LAND,F047
P1093,F035,A02
P1094,F048,F039
P1095,LAND,F014
P1096,F010,F007
P1097,F020,LAND
P1098,F009,F003
P1099,LAND,F019
P1100,LAND,F001
P1101,LAND,F019
P1102,F009,F003
P1103,LAND,F044
P1104,F011,A01
P1105,F024,F027
P1106,F043,F051
P1107,F038,LAND
P1108,LAND,F003
P1109,LAND,F049
P1110,F031,LAND
P1111,F030,LAND
P1112,LAND,F023
P1113,LAND,F028
P1114,LAND,F016
P1115,F052,F048
P1116,F003,F008
P1117,F023,F032
P1118,LAND,F007
P1119,LAND,F020
P1120,LAND,F020
P1121,F015,F009
P1122,LAND,F036
P1123,F001,LAND
P1124,LAND,F035
P1125,F044,LAND
P1126,F050,A03
P1127,F029,F021
P1128,F023,LAND
P1129,F007,LAND
P1130,F043,F051
P1131,LAND,F007
P1132,F003,A01
P1133,LAND,F034
P1134,F002,A01
P1135,LAND,F038
P1136,F049,LAND
P1137,A03,F041
P1138,F031,LAND
P1139,LAND,F013
P1140,F021,F027
P1141,LAND,F022
P1142,F014,F017
P1143,F006,LAND
P1144,LAND,F024
P1145,F018,F026
P1146,F036,F046
P1147,F013,LAND
P1148,LAND,F050
P1149,F051,LAND
P1150,F016,F005
P1151,LAND,F022
P1152,F018,LAND
P1153,LAND,F013
P1154,F032,F025
P1155,F002,LAND
P1156,LAND,F034
P1157,LAND,F045
P1158,F029,LAND
P1159,F014,LAND
P1160,LAND,F019
P1161,F040,LAND
P1162,F049,LAND
P1163,LAND,F014
P1164,LAND,F019
P1165,F027,LAND
P1166,F020,A02
P1167,LAND,F001
P1168,F007,F002
P1169,F002,LAND
P1170,F049,LAND
P1171,A03,F043
P1172,F015,A01
P1173,LAND,F047
P1174,LAND,F042
P1175,F012,A01
P1176,F008,LAND
P1177,F021,LAND
P1178,F033,LAND
P1179,LAND,F028
P1180,F008,F003
P1181,F011,F015
P1182,F017,LAND
P1183,F031,LAND
P1184,LAND,F025
P1185,F011,F015
P1186,F021,LAND
P1187,LAND,F012
P1188,LAND,F022
P1189,F030,LAND
P1190,F018,LAND
P1191,F039,LAND
P1192,F039,A03
P1193,F039,F052
P1194,LAND,F018
P1195,A02,F021
P1196,LAND,F007
P1197,F039,LAND
P1198,A02,F033
P1199,LAND,F046
P1200,LAND,F030
P1201,LAND,F052
P1202,F028,LAND
P1203,A03,F042
P1204,F045,LAND
P1205,F013,LAND
P1206,LAND,F031
P1207,F007,LAND
P1208,LAND,F001
P1209,F030,F026
P1210,LAND,F012
P1211,F020,LAND
P1212,F044,LAND
P1213,LAND,F018
P1214,F001,LAND
P1215,F016,LAND
P1216,LAND,F004
P1217,LAND,F048
P1218,F023,F032
P1219,F039,LAND
P1220,F025,LAND
P1221,LAND,F037
P1222,F015,F009
P1223,F032,LAND
P1224,F042,F040
P1225,F004,LAND
P1226,LAND,F029
P1227,F029,LAND
P1228,F018,LAND
P1229,LAND,F001
P1230,F052,F048
P1231,A03,F047
P1232,F002,F003
P1233,LAND,F027
P1234,F039,A03
P1235,LAND,F014
P1236,LAND,F039
P1237,F050,LAND
P1238,LAND,F052
P1239,F041,F045
P1240,F032,F025
P1241,F035,LAND
P1242,F001,LAND
P1243,LAND,F007
P1244,F029,LAND
P1245,F028,LAND
P1246,F048,LAND
P1247,LAND,F036
P1248,F011,LAND
P1249,F026,LAND
P1250,F011,LAND
P1251,F037,LAND
P1252,F017,F014
P1253,F023,LAND
P1254,LAND,F032
P1255,F037,F044
P1256,LAND,F035
P1257,F012,LAND
P1258,F051,F038
P1259,F031,LAND
P1260,F026,LAND
P1261,LAND,F048
P1262,F031,LAND
P1263,F013,F002
P1264,LAND,F004
P1265,F035,LAND
P1266,LAND,F026
P1267,LAND,F036
P1268,LAND,F042
P1269,LAND,F046
P1270,LAND,F008
P1271,F009,LAND
P1272,F042,F040
P1273,F037,LAND
P1274,F050,LAND
P1275,F021,LAND
P1276,LAND,F029
P1277,F037,LAND
P1278,LAND,F038
P1279,F004,LAND
P1280,F005,LAND
P1281,F048,LAND
P1282,F021,LAND
P1283,F028,A02
P1284,LAND,F019
P1285,LAND,F018
P1286,F026,LAND
P1287,F026,A02
P1288,F043,F051
P1289,F009,F003
P1290,F017,LAND
P1291,F033,LAND
P1292,F037,F044
P1293,F030,LAND
P1294,LAND,F043
P1295,F022,LAND
P1296,LAND,F013
P1297,F019,LAND
P1298,F048,LAND
P1299,F001,A01
P1300,LAND,F032
P1301,F007,A01
P1302,F034,LAND
P1303,LAND,F047
P1304,F043,LAND
P1305,F030,LAND
P1306,F009,F003
P1307,LAND,F005
