日期,机场,飞机编号,架次,机型,停靠设施,承运人数,飞机使用时间(分钟),航程(km),燃油(kg),人员在途时间(分钟),座位利用率,空座公里
2026-08-07,A02,A02-T2-H03,5,T2,F018—F028,16,174,522.0,1305.0,1072,0.465517,4464.0
2026-08-08,A02,A02-T2-H01,11,T2,F018—F028,16,174,522.0,1305.0,1712,0.534483,3888.0
2026-08-08,A02,A02-T3-H01,7,T3,F024—F034,32,193,512.0,1484.8,3088,0.842105,1536.0
2026-08-08,A02,A02-T2-H02,7,T2,F018—F026,14,154,449.0,1122.5,1302,0.444321,3992.0
2026-08-08,A02,A02-T2-H03,7,T2,F031—F032,32,184,559.0,1397.5,2860,0.983005,152.0
2026-08-08,A02,A02-T2-H04,5,T2,F024—F033,30,167,498.0,1245.0,2505,0.9375,498.0
2026-08-08,A02,A02-T1-H01,5,T1,F024—F029,22,139,451.0,1533.4,1529,0.916667,451.0
2026-08-08,A02,A02-T2-H01,12,T2,F030,29,110,360.0,900.0,1580,0.90625,540.0
2026-08-08,A02,A02-T2-H02,8,T2,F031,25,152,484.0,1210.0,1850,0.78125,1694.0
2026-08-08,A02,A02-T3-H01,8,T3,F030—F026—F034—F031—F032,7,287,711.0,2061.9,906,0.149826,11485.0
2026-08-08,A02,A02-T3-H02,9,T3,F030—F018—F026—F034,22,229,561.0,1626.9,1420,0.243175,8067.0
2026-08-09,A02,A02-T2-H01,13,T2,F019—F024,28,158,465.0,1162.5,2252,0.883871,864.0
2026-08-09,A02,A02-T2-H02,9,T2,F018—F022—F029—F021—F025,21,210,539.0,1347.5,1814,0.51635,4171.0
2026-08-09,A02,A02-T2-H03,8,T2,F020,30,112,370.0,925.0,1680,0.9375,370.0
2026-08-09,A02,A02-T2-H04,6,T2,F024—F029—F035—F021—F025,27,212,545.0,1362.5,2704,0.785665,1869.0
2026-08-09,A02,A02-T3-H01,9,T3,F021—F024,32,171,471.0,1365.9,2736,0.842105,1413.0
2026-08-09,A02,A02-T3-H02,10,T3,F022—F021—F032—F031—F025,32,264,639.0,1853.1,2870,0.52994,5707.0
2026-08-09,A02,A02-T1-H01,6,T1,F031—F021—F024,12,181,537.0,1825.8,252,0.081937,5916.0
2026-08-09,A02,A02-T1-H02,3,T1,F031—F021—F024,4,181,537.0,1825.8,84,0.027312,6268.0
2026-08-09,A02,A02-T2-H02,10,T2,F018,12,138,428.0,1070.0,888,0.375,4280.0
2026-08-03,A03,A03-T2-H01,1,T2,F038—F040—F037—F044—F045,26,279,761.0,1902.5,3311,0.749343,3052.0
2026-08-03,A03,A03-T2-H02,1,T2,F036—F046—F038,39,206,602.0,1505.0,2911,0.92037,767.0
2026-08-03,A03,A03-T3-H01,1,T3,F039,19,152,446.0,1293.4,1349,0.5,4237.0
2026-08-03,A03,A03-T3-H02,1,T3,F037—F040—F044,48,273,731.0,2119.9,4803,0.924473,1049.0
2026-08-03,A03,A03-T2-H01,2,T2,F038—F037—F044—F045,12,269,760.0,1900.0,1629,0.367845,7687.0
2026-08-03,A03,A03-T3-H01,2,T3,F038—F045,22,207,554.0,1606.6,944,0.197036,8452.0
2026-08-03,A03,A03-T3-H02,2,T3,F036,13,156,462.0,1339.8,969,0.342105,5775.0
2026-08-04,A03,A03-T2-H01,3,T2,F040—F044—F041,15,229,687.0,1717.5,735,0.09143,9987.0
2026-08-04,A03,A03-T3-H01,3,T3,F039,18,152,446.0,1293.4,1458,0.473684,4460.0
2026-08-04,A03,A03-T3-H02,3,T3,F044,16,222,634.0,1838.6,1616,0.421053,6974.0
2026-08-04,A03,A03-T3-H03,1,T3,F038—F041—F045,43,228,587.0,1702.3,3112,0.728055,3033.0
2026-08-04,A03,A03-T3-H01,4,T3,F042—F040—F044—F043,30,288,748.0,2169.2,3212,0.67436,4628.0
2026-08-04,A03,A03-T2-H02,2,T2,F039—F038—F052,13,196,563.0,1407.5,689,0.11401,7981.0
2026-08-04,A03,A03-T2-H03,1,T2,F038—F042—F044—F041—F045,10,281,764.0,1910.0,1312,0.277732,8829.0
2026-08-04,A03,A03-T2-H01,4,T2,F038—F045,15,182,554.0,1385.0,1665,0.497518,4454.0
2026-08-05,A03,A03-T2-H01,5,T2,F038—F043—F037—F044—F041,27,279,760.0,1900.0,2956,0.707072,3562.0
2026-08-05,A03,A03-T2-H02,3,T2,F038—F049—F046,11,195,565.0,1412.5,1128,0.354204,5838.0
2026-08-05,A03,A03-T3-H01,5,T3,F037—F050—F042—F040,22,308,813.0,2357.7,1167,0.182689,12625.0
2026-08-05,A03,A03-T3-H02,4,T3,F038—F049—F046,37,221,565.0,1638.5,4068,0.97075,314.0
2026-08-05,A03,A03-T2-H03,2,T2,F038—F047,23,189,579.0,1447.5,2229,0.73057,2496.0
2026-08-05,A03,A03-T3-H03,2,T3,F041—F044—F043—F048,32,261,660.0,1914.0,3559,0.747608,3165.0
2026-08-05,A03,A03-T2-H02,4,T2,F044—F037—F050—F038—F049,22,311,875.0,2187.5,2263,0.458643,7579.0
2026-08-06,A03,A03-T3-H01,6,T3,F037—F050,10,286,806.0,2337.4,1584,0.266031,11240.0
2026-08-06,A03,A03-T3-H02,5,T3,F037—F050—F043—F051,38,316,832.0,2412.8,4848,0.79504,3240.0
2026-08-06,A03,A03-T2-H01,6,T2,F043—F051—F038—F047—F046,13,246,672.0,1680.0,412,0.090402,9780.0
2026-08-06,A03,A03-T2-H02,5,T2,F038—F051,32,184,559.0,1397.5,2944,1.0,0.0
2026-08-06,A03,A03-T3-H03,3,T3,F038,31,188,526.0,1525.4,2904,0.815789,1841.0
2026-08-06,A03,A03-T2-H03,3,T2,F038—F048—F052,27,196,564.0,1410.0,2555,0.822252,1604.0
2026-08-06,A03,A03-T2-H02,6,T2,F038—F039,32,175,528.0,1320.0,2800,1.0,0.0
2026-08-06,A03,A03-T2-H01,7,T2,F038—F037—F044,1,259,759.0,1897.5,122,0.03055,11773.0
2026-08-06,A03,A03-T3-H01,7,T3,F038—F051—F052—F047—F046,9,255,609.0,1766.1,1280,0.250281,8675.0
2026-08-06,A03,A03-T3-H03,4,T3,F046—F047—F038,16,225,580.0,1682.0,240,0.021779,10780.0
2026-08-06,A03,A03-T3-H02,6,T3,F046—F047—F038,2,225,580.0,1682.0,30,0.002722,10990.0
2026-08-06,A03,A03-T2-H02,7,T2,F045—F038—F048,14,195,562.0,1405.0,657,0.099533,8097.0
2026-08-07,A03,A03-T3-H01,8,T3,F042—F044,21,266,741.0,2148.9,2739,0.551033,6321.0
2026-08-07,A03,A03-T3-H02,7,T3,F044,32,222,634.0,1838.6,3552,0.842105,1902.0
2026-08-07,A03,A03-T3-H03,5,T3,F043—F044,31,234,641.0,1858.9,3616,0.814353,2261.0
2026-08-07,A03,A03-T2-H01,8,T2,F038—F048—F039,27,187,534.0,1335.0,1481,0.418539,4968.0
2026-08-07,A03,A03-T2-H02,8,T2,F036—F038,31,195,602.0,1505.0,3047,0.976017,231.0
2026-08-07,A03,A03-T3-H01,10,T3,F047—F049—F038,31,226,581.0,1684.9,1984,0.439986,6182.0
2026-08-07,A03,A03-T3-H02,9,T3,F038—F045,34,207,554.0,1606.6,3519,0.894737,1108.0
2026-08-07,A03,A03-T2-H02,9,T2,F038—F041—F045,20,201,587.0,1467.5,2053,0.630004,3475.0
2026-08-07,A03,A03-T2-H03,4,T2,F038—F048—F039,2,187,534.0,1335.0,38,0.007257,8482.0
2026-08-08,A03,A03-T3-H01,11,T3,F049—F048—F038,32,218,557.0,1615.3,2136,0.500236,5289.0
2026-08-08,A03,A03-T3-H02,10,T3,F043—F051—F038—F048,17,251,626.0,1815.4,594,0.067009,11097.0
2026-08-08,A03,A03-T3-H03,7,T3,F050—F043,15,291,821.0,2380.9,705,0.110584,13874.0
2026-08-08,A03,A03-T2-H01,11,T2,F038—F046,19,185,564.0,1410.0,1786,0.599069,3618.0
2026-08-08,A03,A03-T2-H02,11,T2,F040—F044—F043—F048—F052,18,266,743.0,1857.5,2452,0.567463,5142.0
2026-08-08,A03,A03-T2-H03,7,T2,F044—F037—F038—F048—F052,2,291,797.0,1992.5,50,0.008469,12644.0
2026-08-09,A03,A03-T2-H01,14,T2,F038—F051,28,184,559.0,1397.5,2606,0.875112,1117.0
2026-08-09,A03,A03-T2-H02,14,T2,F038—F052,31,185,561.0,1402.5,2888,0.970922,261.0
2026-08-09,A03,A03-T3-H01,14,T3,F038—F039,4,199,528.0,1531.2,96,0.016746,9864.0
2026-08-09,A03,A03-T3-H02,14,T3,F037—F050—F044,27,299,815.0,2363.5,3206,0.519793,7436.0
2026-08-09,A03,A03-T3-H03,10,T3,F036—F049—F048—F038—F039,38,253,604.0,1751.6,2145,0.423405,6617.0
2026-08-09,A03,A03-T2-H03,11,T2,F038—F037—F050—F044,9,292,844.0,2110.0,1106,0.219861,10535.0
2026-08-09,A03,A03-T3-H01,15,T3,F036,35,156,462.0,1339.8,2725,0.921053,693.0
2026-08-09,A03,A03-T3-H03,11,T3,F039—F048—F038—F044,18,261,659.0,1911.1,360,0.044565,11963.0
2026-08-08,A03,A03-T3-H01,12,T3,F038—F047,1,215,579.0,1679.1,136,0.030088,10670.0
2026-08-08,A01,A01-T1-H02,4,T1,F006—F010,1,146,478.0,1625.2,52,0.037657,5520.0
2026-08-08,A01,A01-T1-H03,5,T1,F006—F010,1,146,478.0,1625.2,52,0.037657,5520.0
2026-08-08,A03,A03-T2-H02,12,T2,F038—F049,1,183,557.0,1392.5,67,0.027267,8669.0
2026-08-03,A01,A01-T1-H01,1,T1,F006,1,134,470.0,1598.0,77,0.041667,5405.0
2026-08-07,A03,A03-T2-H03,5,T2,F040—F044,1,219,687.0,1717.5,104,0.031114,10650.0
2026-08-08,A03,A03-T2-H03,8,T2,F038—F047,1,189,579.0,1447.5,68,0.02677,9016.0
2026-08-07,A03,A03-T3-H03,6,T3,F042—F044,1,266,741.0,2148.9,139,0.026493,13706.0
2026-08-08,A03,A03-T3-H02,11,T3,F038—F049,1,208,557.0,1615.3,77,0.022961,10340.0
2026-08-08,A03,A03-T3-H03,8,T3,F038—F047,1,215,579.0,1679.1,79,0.022543,10753.0
2026-08-08,A03,A03-T2-H01,12,T2,F038—F047,1,189,579.0,1447.5,68,0.02677,9016.0
2026-08-08,A03,A03-T2-H02,13,T2,F052—F048—F038,2,196,564.0,1410.0,34,0.005098,8978.0
2026-08-08,A03,A03-T3-H01,13,T3,F052—F048—F038,1,221,564.0,1635.6,18,0.002146,10693.0
2026-08-08,A03,A03-T2-H03,9,T2,F038—F048,1,177,534.0,1335.0,70,0.029728,8290.0
2026-08-08,A03,A03-T3-H02,12,T3,F038—F047,1,215,579.0,1679.1,136,0.030088,10670.0
2026-08-08,A03,A03-T2-H01,13,T2,F052—F048—F038,1,196,564.0,1410.0,17,0.002549,9001.0
2026-08-09,A03,A03-T2-H03,10,T2,F038—F047,1,189,579.0,1447.5,68,0.02677,9016.0
2026-08-09,A03,A03-T3-H02,13,T3,F038—F048,1,201,534.0,1548.6,81,0.025034,9892.0
2026-08-09,A03,A03-T3-H03,9,T3,F038—F047,1,215,579.0,1679.1,136,0.030088,10670.0
2026-08-09,A03,A03-T2-H01,15,T2,F038—F047,1,189,579.0,1447.5,121,0.03573,8933.0
2026-08-09,A03,A03-T2-H02,15,T2,F038—F047,1,189,579.0,1447.5,121,0.03573,8933.0
2026-08-09,A03,A03-T2-H01,16,T2,F052—F048—F038,1,196,564.0,1410.0,17,0.002549,9001.0
2026-08-09,A03,A03-T2-H02,16,T2,F038—F047,1,189,579.0,1447.5,68,0.02677,9016.0
2026-08-08,A02,A02-T1-H02,2,T1,F018—F022,3,140,453.0,1540.2,150,0.11479,4812.0
2026-08-09,A03,A03-T2-H03,12,T2,F038—F049,1,183,557.0,1392.5,67,0.027267,8669.0
2026-08-08,A02,A02-T3-H02,8,T3,F022,1,142,416.0,1206.4,66,0.026316,7696.0
2026-08-07,A03,A03-T3-H02,8,T3,F052—F048—F038,1,221,564.0,1635.6,18,0.002146,10693.0
2026-08-07,A03,A03-T3-H01,9,T3,F052—F048—F038,1,221,564.0,1635.6,18,0.002146,10693.0
2026-08-07,A03,A03-T2-H01,9,T2,F052—F048—F038,1,196,564.0,1410.0,17,0.002549,9001.0
2026-08-07,A03,A03-T2-H03,6,T2,F052—F048—F038,1,196,564.0,1410.0,17,0.002549,9001.0
2026-08-07,A03,A03-T2-H02,10,T2,F052—F048—F038,1,196,564.0,1410.0,17,0.002549,9001.0
2026-08-07,A03,A03-T2-H01,10,T2,F052—F048—F038,1,196,564.0,1410.0,17,0.002549,9001.0
2026-08-09,A03,A03-T3-H02,15,T3,F038—F047,1,215,579.0,1679.1,79,0.022543,10753.0
2026-08-08,A03,A03-备用-01,2,T3,F038—F047,1,215,579.0,1679.1,79,0.022543,10753.0
2026-08-08,A03,A03-备用-02,2,T3,F052—F048—F038,1,221,564.0,1635.6,18,0.002146,10693.0
2026-08-08,A03,A03-备用-03,2,T3,F038—F047,1,215,579.0,1679.1,136,0.030088,10670.0
2026-08-08,A03,A03-备用-04,2,T3,F052—F048—F038,1,221,564.0,1635.6,18,0.002146,10693.0
2026-08-08,A03,A03-备用-05,2,T3,F038—F049,1,208,557.0,1615.3,77,0.022961,10340.0
2026-08-09,A02,A02-备用-01,1,T3,F022,1,142,416.0,1206.4,66,0.026316,7696.0
2026-08-08,A03,A03-备用-06,2,T3,F038—F049,1,208,557.0,1615.3,77,0.022961,10340.0
2026-08-08,A01,A01-备用-01,1,T3,F010,1,148,432.0,1252.8,79,0.026316,7992.0
2026-08-07,A03,A03-备用-01,1,T3,F042—F044,1,266,741.0,2148.9,139,0.026493,13706.0
2026-08-08,A03,A03-备用-07,2,T3,F038—F049,1,208,557.0,1615.3,77,0.022961,10340.0
2026-08-08,A03,A03-备用-08,2,T3,F052—F048—F038,1,221,564.0,1635.6,18,0.002146,10693.0
2026-08-07,A03,A03-备用-02,1,T3,F042—F044,1,266,741.0,2148.9,139,0.026493,13706.0
2026-08-07,A03,A03-备用-03,1,T3,F042—F044,1,266,741.0,2148.9,139,0.026493,13706.0
2026-08-07,A03,A03-备用-04,1,T3,F042—F044,1,266,741.0,2148.9,139,0.026493,13706.0
2026-08-08,A03,A03-备用-09,2,T3,F038—F048,1,201,534.0,1548.6,81,0.025034,9892.0
2026-08-08,A03,A03-备用-10,1,T3,F038—F048,1,201,534.0,1548.6,120,0.027597,9866.0
2026-08-07,A03,A03-备用-05,1,T3,F042—F044,1,266,741.0,2148.9,139,0.026493,13706.0
2026-08-08,A03,A03-备用-11,1,T3,F038—F047,1,215,579.0,1679.1,136,0.030088,10670.0
2026-08-08,A03,A03-备用-12,1,T3,F038—F048,1,201,534.0,1548.6,120,0.027597,9866.0
2026-08-08,A03,A03-备用-13,1,T3,F052—F048—F038,1,221,564.0,1635.6,18,0.002146,10693.0
2026-08-08,A03,A03-备用-14,1,T3,F038—F048,1,201,534.0,1548.6,81,0.025034,9892.0
2026-08-08,A03,A03-备用-15,1,T3,F038—F048,1,201,534.0,1548.6,120,0.027597,9866.0
2026-08-08,A03,A03-备用-16,1,T3,F038—F049,1,208,557.0,1615.3,131,0.02967,10269.0
2026-08-08,A03,A03-备用-17,1,T3,F038—F048,1,201,534.0,1548.6,120,0.027597,9866.0
2026-08-07,A03,A03-备用-06,1,T3,F052—F048—F038,1,221,564.0,1635.6,18,0.002146,10693.0
