person_id,origin_id,destination_id
P0559,LAND,F028
P0561,LAND,F012
P0562,LAND,F030
P0565,LAND,F035
P0566,LAND,F044
P0567,LAND,F050
P0568,LAND,F045
P0570,A01,F015
P0572,LAND,F019
P0573,LAND,F038
P0574,A02,F026
P0575,LAND,F001
P0580,LAND,F033
P0582,LAND,F044
P0583,LAND,F010
P0584,LAND,F012
P0588,A03,F043
P0598,LAND,F017
P0599,LAND,F033
P0600,LAND,F028
P0601,LAND,F043
P0602,LAND,F001
P0605,LAND,F015
P0607,LAND,F001
P0610,LAND,F047
P0611,A02,F023
P0612,LAND,F020
P0613,A01,F016
P0616,LAND,F032
P0617,LAND,F042
P0618,LAND,F032
P0619,A01,F012
P0620,LAND,F026
P0622,LAND,F005
P0628,LAND,F008
P0631,LAND,F010
P0632,LAND,F004
P0634,LAND,F028
P0635,A02,F020
P0637,A01,F015
P0638,LAND,F042
P0641,LAND,F012
P0642,LAND,F010
P0643,A03,F050
P0644,LAND,F012
P0647,LAND,F016
P0648,LAND,F013
P0652,LAND,F007
P0655,LAND,F038
P0657,LAND,F041
P0659,LAND,F002
P0660,A02,F033
P0661,LAND,F030
P0665,LAND,F035
P0672,LAND,F013
P0673,A03,F045
P0677,LAND,F035
P0680,LAND,F002
P0682,LAND,F012
P0685,LAND,F007
P0687,LAND,F007
P0689,LAND,F036
P0693,LAND,F023
P0696,LAND,F025
P0697,LAND,F026
P0698,LAND,F008
P0700,LAND,F028
P0703,LAND,F018
P0704,LAND,F044
P0707,LAND,F011
P0709,A03,F036
P0714,LAND,F039
P0715,LAND,F003
P0718,LAND,F006
P0721,LAND,F038
P0728,LAND,F044
P0729,A02,F024
P0731,LAND,F024
P0735,LAND,F003
P0738,LAND,F032
P0741,LAND,F045
P0743,LAND,F034
P0744,LAND,F033
P0746,LAND,F027
P0747,LAND,F007
P0750,LAND,F022
P0751,LAND,F027
P0755,LAND,F035
P0757,LAND,F018
P0761,A02,F033
P0767,LAND,F027
P0768,LAND,F044
P0773,LAND,F052
P0776,LAND,F045
P0778,LAND,F043
P0781,A03,F045
P0782,LAND,F022
P0785,LAND,F013
P0786,A01,F007
P0788,LAND,F047
P0792,LAND,F018
P0793,LAND,F052
P0794,LAND,F041
P0796,LAND,F001
P0797,LAND,F051
P0799,A02,F034
P0800,LAND,F022
P0801,LAND,F045
P0805,LAND,F045
P0808,A02,F034
P0809,LAND,F027
P0812,A01,F007
P0818,LAND,F008
P0820,LAND,F038
P0821,LAND,F008
P0822,LAND,F044
P0823,LAND,F011
P0826,LAND,F045
P0828,LAND,F033
P0829,LAND,F045
P0831,LAND,F045
P0833,LAND,F052
P0834,LAND,F046
P0835,LAND,F010
P0838,A03,F044
P0843,LAND,F049
P0845,LAND,F031
P0848,A03,F043
P0849,LAND,F014
P0851,LAND,F007
P0855,LAND,F039
P0856,A03,F051
P0857,LAND,F027
P0860,LAND,F009
P0862,LAND,F021
P0863,LAND,F006
P0865,A03,F050
P0868,A03,F040
P0869,LAND,F049
P0870,LAND,F013
P0872,LAND,F036
P0879,LAND,F005
P0880,LAND,F040
P0888,LAND,F036
P0889,LAND,F036
P0893,LAND,F007
P0894,LAND,F045
P0896,LAND,F034
P0897,A02,F027
P0904,LAND,F051
P0908,LAND,F004
P0909,LAND,F022
P0911,LAND,F037
P0912,LAND,F013
P0916,LAND,F050
P0918,A01,F001
P0921,LAND,F036
P0923,LAND,F011
P0925,LAND,F003
P0926,LAND,F026
P0933,LAND,F049
P0946,LAND,F019
P0948,LAND,F045
P0950,LAND,F016
P0952,LAND,F049
P0953,LAND,F028
P0955,LAND,F033
P0957,A02,F019
P0962,LAND,F029
P0965,LAND,F043
P0969,LAND,F015
P0975,LAND,F021
P0978,LAND,F005
P0980,LAND,F037
P0985,LAND,F050
P0986,LAND,F021
P0987,LAND,F029
P0992,LAND,F022
P0993,A03,F038
P0994,LAND,F049
P0995,LAND,F024
P0997,LAND,F051
P0998,LAND,F015
P1000,LAND,F012
P1004,LAND,F040
P1005,LAND,F018
P1006,A01,F005
P1007,LAND,F030
P1009,LAND,F037
P1011,LAND,F008
P1016,LAND,F045
P1018,LAND,F021
P1022,LAND,F002
P1025,LAND,F045
P1031,LAND,F023
P1035,A03,F052
P1036,LAND,F001
P1042,A03,F037
P1048,LAND,F027
P1049,LAND,F035
P1050,LAND,F043
P1052,LAND,F004
P1056,LAND,F034
P1063,A03,F047
P1068,LAND,F024
P1071,LAND,F026
P1073,LAND,F047
P1075,LAND,F007
P1076,LAND,F023
P1077,LAND,F029
P1078,LAND,F005
P1079,A01,F017
P1080,LAND,F015
P1081,LAND,F051
P1082,LAND,F046
P1085,LAND,F009
P1086,LAND,F030
P1087,A03,F036
P1092,LAND,F047
P1095,LAND,F014
P1099,LAND,F019
P1100,LAND,F001
P1101,LAND,F019
P1103,LAND,F044
P1108,LAND,F003
P1109,LAND,F049
P1112,LAND,F023
P1113,LAND,F028
P1114,LAND,F016
P1118,LAND,F007
P1119,LAND,F020
P1120,LAND,F020
P1122,LAND,F036
P1124,LAND,F035
P1131,LAND,F007
P1133,LAND,F034
P1135,LAND,F038
P1137,A03,F041
P1139,LAND,F013
P1141,LAND,F022
P1144,LAND,F024
P1148,LAND,F050
P1151,LAND,F022
P1153,LAND,F013
P1156,LAND,F034
P1157,LAND,F045
P1160,LAND,F019
P1163,LAND,F014
P1164,LAND,F019
P1167,LAND,F001
P1171,A03,F043
P1173,LAND,F047
P1174,LAND,F042
P1179,LAND,F028
P1184,LAND,F025
P1187,LAND,F012
P1188,LAND,F022
P1194,LAND,F018
P1195,A02,F021
P1196,LAND,F007
P1198,A02,F033
P1199,LAND,F046
P1200,LAND,F030
P1201,LAND,F052
P1203,A03,F042
P1206,LAND,F031
P1208,LAND,F001
P1210,LAND,F012
P1213,LAND,F018
P1216,LAND,F004
P1217,LAND,F048
P1221,LAND,F037
P1226,LAND,F029
P1229,LAND,F001
P1231,A03,F047
P1233,LAND,F027
P1235,LAND,F014
P1236,LAND,F039
P1238,LAND,F052
P1243,LAND,F007
P1247,LAND,F036
P1254,LAND,F032
P1256,LAND,F035
P1261,LAND,F048
P1264,LAND,F004
P1266,LAND,F026
P1267,LAND,F036
P1268,LAND,F042
P1269,LAND,F046
P1270,LAND,F008
P1276,LAND,F029
P1278,LAND,F038
P1284,LAND,F019
P1285,LAND,F018
P1294,LAND,F043
P1296,LAND,F013
P1300,LAND,F032
P1303,LAND,F047
P1307,LAND,F005
P1308,LAND,F036
P1310,A01,F008
P1315,LAND,F020
P1316,LAND,F043
P1319,LAND,F012
P1322,LAND,F036
P1324,LAND,F030
P1327,LAND,F043
P1329,LAND,F020
P1333,LAND,F020
P1334,A01,F008
P1335,LAND,F023
P1338,LAND,F033
P1339,LAND,F021
P1342,LAND,F028
P1343,LAND,F020
P1345,LAND,F019
P1347,LAND,F016
P1350,LAND,F001
P1357,LAND,F047
P1358,LAND,F020
P1364,LAND,F015
P1365,LAND,F020
P1366,LAND,F035
P1367,LAND,F021
P1368,A02,F034
P1369,LAND,F028
P1376,LAND,F030
P1380,LAND,F017
P1381,LAND,F036
P1382,LAND,F044
P1385,LAND,F049
P1392,LAND,F034
P1394,LAND,F006
P1395,LAND,F002
P1397,LAND,F006
P1399,LAND,F006
P1402,A01,F015
P1404,LAND,F047
P1407,LAND,F039
P1413,LAND,F024
P1422,LAND,F025
P1423,LAND,F034
P1429,LAND,F012
P1431,LAND,F002
P1435,LAND,F042
P1443,LAND,F031
P1445,LAND,F028
P1447,LAND,F024
P1450,LAND,F043
P1451,LAND,F023
P1452,LAND,F050
P1453,LAND,F020
P1458,LAND,F002
P1461,LAND,F008
P1462,A02,F033
P1463,LAND,F022
P1464,LAND,F047
P1467,LAND,F031
P1470,LAND,F018
P1471,LAND,F050
P1474,LAND,F039
P1475,LAND,F033
P1476,LAND,F022
P1477,LAND,F037
P1479,LAND,F041
P1481,LAND,F022
P1482,A02,F023
P1484,LAND,F037
P1488,LAND,F039
P1493,LAND,F017
P1497,LAND,F049
P1500,LAND,F019
P1504,LAND,F018
P1506,LAND,F015
P1509,LAND,F002
P1512,LAND,F031
P1515,LAND,F024
P1517,LAND,F036
P1518,LAND,F010
P1520,A03,F049
P1521,LAND,F017
P1523,LAND,F007
P1528,LAND,F027
P1529,LAND,F011
P1534,LAND,F031
P1537,LAND,F016
P1541,LAND,F033
P1544,LAND,F022
P1549,LAND,F010
P1552,LAND,F046
P1553,LAND,F004
P1556,LAND,F041
P1559,LAND,F039
P1562,LAND,F038
P1564,LAND,F021
P1566,LAND,F018
P1567,LAND,F040
P1569,LAND,F048
P1570,LAND,F049
P1571,A01,F011
P1574,LAND,F027
P1575,LAND,F035
P1576,LAND,F036
P1577,LAND,F022
P1579,LAND,F016
P1580,LAND,F021
P1582,LAND,F016
P1598,LAND,F040
P1601,LAND,F001
P1604,LAND,F048
P1605,LAND,F011
P1607,LAND,F018
P1608,LAND,F021
P1609,LAND,F001
P1610,LAND,F009
P1611,A01,F006
P1612,LAND,F038
P1613,LAND,F047
P1615,LAND,F043
P1616,LAND,F047
P1625,LAND,F006
P1627,LAND,F022
P1640,A03,F045
P1645,LAND,F019
P1650,A03,F036
P1653,LAND,F008
P1654,LAND,F024
P1655,LAND,F012
P1661,LAND,F019
P1664,LAND,F019
P1667,LAND,F011
P1668,LAND,F027
P1671,LAND,F020
P1677,A02,F019
P1680,LAND,F016
P1681,LAND,F032
P1682,LAND,F025
P1683,LAND,F042
P1684,LAND,F051
P1685,LAND,F002
P1686,LAND,F034
P1688,LAND,F011
P1690,LAND,F021
P1694,LAND,F008
P1697,LAND,F016
P1699,LAND,F020
P1701,LAND,F035
P1703,A01,F007
P1705,LAND,F040
P1708,LAND,F023
P1710,LAND,F005
P1713,LAND,F020
P1714,LAND,F035
P1715,A03,F040
P1718,A01,F011
P1721,LAND,F036
P1723,LAND,F051
P1724,LAND,F026
P1725,LAND,F039
P1729,A02,F028
P1734,LAND,F002
P1738,LAND,F029
P1739,LAND,F030
P1742,LAND,F041
P1743,LAND,F009
P1745,LAND,F017
P1748,LAND,F006
P1750,A03,F040
P1752,LAND,F018
P1753,LAND,F045
P1754,A01,F002
P1757,LAND,F001
P1758,LAND,F001
P1759,LAND,F001
P1760,LAND,F044
P1761,LAND,F048
P1763,LAND,F009
P1766,LAND,F038
P1767,A03,F042
P1771,A01,F002
P1772,LAND,F031
P1773,LAND,F028
P1774,LAND,F015
P1778,LAND,F046
P1782,LAND,F015
P1785,A03,F045
P1790,LAND,F020
P1793,LAND,F026
P1794,LAND,F020
P1797,LAND,F007
P1801,LAND,F021
P1803,A03,F045
P1804,LAND,F030
P1805,LAND,F014
P1806,LAND,F031
P1807,LAND,F018
P1811,LAND,F032
P1814,LAND,F028
P1817,A03,F036
P1827,A02,F029
P1828,LAND,F025
P1832,LAND,F049
P1838,A01,F007
P1839,LAND,F047
P1841,LAND,F028
P1846,LAND,F006
P1847,LAND,F036
P1848,LAND,F001
P1850,LAND,F041
P1853,LAND,F014
P1854,A02,F027
P1855,LAND,F043
P1856,LAND,F025
P1857,LAND,F020
P1858,LAND,F038
P1859,A02,F031
P1864,LAND,F010
P1866,LAND,F018
P1867,LAND,F025
P1870,LAND,F048
P1872,LAND,F001
P1878,LAND,F029
P1883,LAND,F025
P1884,LAND,F045
P1886,A02,F025
P1890,LAND,F046
P1891,LAND,F010
P1895,LAND,F019
P1897,LAND,F013
P1900,LAND,F022
P1902,LAND,F014
P1904,LAND,F027
P1905,A02,F024
P1906,LAND,F023
P1907,A01,F010
P1908,LAND,F040
P1910,LAND,F005
P1913,A03,F038
P1916,LAND,F034
P1919,LAND,F029
P1921,LAND,F019
P1926,LAND,F051
P1933,LAND,F005
P1936,LAND,F039
P1940,LAND,F032
P1944,LAND,F052
P1945,LAND,F033
P1948,LAND,F043
P1949,LAND,F009
P1954,LAND,F002
P1956,LAND,F029
P1959,LAND,F049
P1960,LAND,F044
P1962,LAND,F051
P1968,LAND,F011
P1969,LAND,F039
P1978,LAND,F041
P1981,LAND,F047
P1982,LAND,F019
P1984,LAND,F022
P1987,LAND,F021
P1988,LAND,F023
P1991,LAND,F027
P1992,LAND,F013
P1994,LAND,F034
P2017,LAND,F052
P2018,LAND,F034
P2022,LAND,F048
P2023,LAND,F045
P2024,LAND,F002
P2026,LAND,F030
P2027,LAND,F005
P2028,LAND,F002
P2030,LAND,F002
P2031,LAND,F042
P2032,LAND,F021
P2034,LAND,F020
P2036,LAND,F044
P2037,LAND,F052
P2038,LAND,F021
P2039,LAND,F001
P2041,LAND,F011
P2042,LAND,F034
P2043,LAND,F017
P2044,LAND,F013
P2045,LAND,F037
P2047,A03,F038
P2048,A03,F037
P2051,LAND,F022
P2055,LAND,F025
P2056,LAND,F032
P2057,LAND,F020
P2058,LAND,F037
P2059,LAND,F051
P2061,LAND,F013
P2062,LAND,F005
P2064,LAND,F045
P2065,LAND,F026
P2076,LAND,F023
P2077,LAND,F010
P2078,A02,F018
P2079,LAND,F035
P2086,LAND,F030
P2088,LAND,F018
P2091,LAND,F015
P2093,A03,F042
P2094,LAND,F040
P2096,LAND,F005
P2097,A02,F032
P2098,LAND,F030
P2101,A02,F029
P2102,LAND,F006
P2103,A02,F018
P2104,LAND,F032
P2105,LAND,F048
P2106,LAND,F010
P2110,LAND,F047
P2111,LAND,F052
P2116,LAND,F035
P2119,LAND,F002
P2120,LAND,F014
P2122,LAND,F049
P2127,LAND,F014
P2129,LAND,F036
P2131,A01,F012
P2137,LAND,F017
P2138,A03,F052
P2139,LAND,F017
P2143,LAND,F019
P2145,LAND,F052
P2152,LAND,F017
P2154,A03,F038
P2156,LAND,F048
P2157,LAND,F032
P2159,A03,F039
P2163,LAND,F009
P2165,LAND,F005
P2166,LAND,F039
P2171,LAND,F025
P2172,LAND,F031
P2173,A01,F004
P2178,LAND,F041
P2183,LAND,F004
P2185,LAND,F016
P2186,LAND,F046
P2192,LAND,F016
P2194,LAND,F050
P2195,A02,F024
P2198,A03,F049
P2202,LAND,F005
P2206,LAND,F043
P2207,A01,F017
P2208,A01,F003
P2216,LAND,F020
P2217,LAND,F051
P2218,LAND,F051
P2224,LAND,F031
P2227,LAND,F016
P2228,LAND,F051
P2229,LAND,F017
P2230,LAND,F023
P2239,LAND,F035
P2241,LAND,F021
P2243,LAND,F034
P2248,A02,F031
P2250,LAND,F010
P2253,LAND,F050
P2257,LAND,F018
P2258,LAND,F022
P2261,LAND,F037
P2262,A03,F041
P2265,LAND,F010
P2272,LAND,F026
P2274,LAND,F027
P2275,LAND,F037
P2278,LAND,F006
P2282,LAND,F039
P2283,LAND,F012
P2287,LAND,F020
P2291,LAND,F037
P2292,LAND,F019
P2293,LAND,F034
P2294,LAND,F032
P2295,LAND,F009
P2301,LAND,F018
P2309,A01,F017
P2314,A02,F023
P2315,A03,F047
P2317,LAND,F022
P2318,LAND,F002
P2321,LAND,F049
P2323,LAND,F021
P2326,LAND,F001
P2330,A03,F050
P2331,LAND,F052
P2333,LAND,F022
P2334,LAND,F005
P2336,LAND,F010
P2339,LAND,F012
P2343,LAND,F013
P2346,LAND,F027
P2347,LAND,F025
P2351,A02,F032
P2355,LAND,F031
P2358,A02,F027
P2359,LAND,F052
P2362,LAND,F004
P2364,LAND,F044
P2365,LAND,F045
P2368,LAND,F012
P2369,LAND,F048
P2372,LAND,F006
P2374,A03,F040
P2378,A03,F052
P2382,LAND,F022
P2386,LAND,F040
P2389,LAND,F033
P2393,LAND,F022
P2395,A03,F048
P2396,LAND,F048
P2397,A02,F033
P2400,LAND,F008
P2401,A02,F027
P2407,A02,F028
P2408,A02,F026
P2409,A01,F002
P2410,LAND,F001
P2413,LAND,F035
P2415,LAND,F009
P2416,LAND,F001
P2419,LAND,F048
P2422,LAND,F032
P2425,LAND,F022
P2426,LAND,F027
P2429,A02,F020
P2432,LAND,F031
P2433,LAND,F024
P2435,LAND,F032
P2440,LAND,F023
P2442,LAND,F043
P2446,LAND,F039
P2447,LAND,F014
P2448,LAND,F037
P2450,LAND,F037
P2453,LAND,F030
P2456,LAND,F032
P2457,LAND,F033
P2462,LAND,F022
P2463,LAND,F013
P2464,A01,F013
P2466,LAND,F033
P2469,LAND,F020
P2470,LAND,F008
P2471,LAND,F019
P2472,A01,F016
P2474,LAND,F050
P2477,LAND,F043
P2481,LAND,F048
P2485,LAND,F045
P2487,LAND,F004
P2488,LAND,F019
P2490,LAND,F039
P2493,LAND,F032
P2495,LAND,F011
P2499,LAND,F017
P2500,LAND,F046
P2503,LAND,F012
P2506,LAND,F002
P2512,LAND,F014
P2514,LAND,F021
P2517,A02,F018
P2518,LAND,F024
P2521,A03,F042
P2527,LAND,F036
P2531,LAND,F037
P2535,A02,F024
P2536,LAND,F033
P2537,A01,F001
P2538,LAND,F036
P2540,LAND,F005
P2543,LAND,F020
P2544,A03,F038
P2548,LAND,F027
P2549,LAND,F010
P2551,LAND,F004
P2555,LAND,F040
P2558,LAND,F051
P2561,LAND,F014
P2562,LAND,F051
P2564,LAND,F027
P2571,A02,F027
P2572,A02,F024
P2573,LAND,F026
P2577,LAND,F010
P2578,LAND,F022
P2580,LAND,F021
P2586,LAND,F007
P2590,LAND,F029
P2595,LAND,F002
P2597,LAND,F022
P2598,A02,F019
P2599,LAND,F046
P2601,LAND,F002
P2604,LAND,F048
P2611,LAND,F038
P2614,LAND,F018
P2615,LAND,F010
P2617,LAND,F029
P2618,LAND,F039
P2619,LAND,F048
P2620,LAND,F034
P2625,A01,F002
P2627,LAND,F025
P2632,LAND,F011
P2633,LAND,F021
P2636,A03,F043
P2637,LAND,F021
P2642,LAND,F031
P2643,LAND,F038
P2644,LAND,F018
P2647,LAND,F049
P2648,LAND,F043
P2649,LAND,F039
P2650,LAND,F041
P2654,LAND,F045
P2657,LAND,F020
P2661,LAND,F005
P2663,LAND,F036
P2665,LAND,F002
P2667,LAND,F044
P2669,LAND,F004
P2672,LAND,F049
P2674,LAND,F038
P2675,LAND,F021
P2677,LAND,F036
P2678,LAND,F024
P2681,LAND,F032
P2682,LAND,F017
P2683,A02,F029
P2688,LAND,F001
P2689,LAND,F018
P2691,LAND,F012
P2692,LAND,F048
P2695,LAND,F003
P2698,LAND,F012
P2700,LAND,F049
P2702,LAND,F002
P2710,LAND,F026
P2711,LAND,F022
P2712,LAND,F048
P2715,LAND,F002
P2716,LAND,F004
P2717,LAND,F002
P2718,LAND,F006
P2719,LAND,F003
P2720,LAND,F009
P2721,LAND,F039
P2722,LAND,F020
P2723,LAND,F002
P2724,LAND,F002
P2725,LAND,F005
P2726,LAND,F051
P2727,LAND,F040
P2730,A03,F042
P2731,LAND,F016
P2736,LAND,F016
P2738,A01,F007
P2741,LAND,F012
P2742,LAND,F039
P2743,A03,F048
P2746,LAND,F040
P2751,LAND,F042
P2753,A01,F012
P2759,LAND,F049
P2764,LAND,F011
P2766,LAND,F043
P2767,LAND,F014
P2768,LAND,F011
P2769,LAND,F028
P2771,A02,F027
P2775,LAND,F040
P2776,LAND,F048
P2778,A02,F034
P2779,LAND,F042
P2782,LAND,F050
P2783,LAND,F044
P2785,LAND,F052
P2786,LAND,F042
P2787,LAND,F052
P2789,LAND,F017
P2790,A02,F023
P2791,A02,F025
P2793,A01,F004
P2794,LAND,F009
P2796,LAND,F029
P2799,LAND,F039
P2801,LAND,F045
P2805,LAND,F009
P2807,LAND,F013
P2809,LAND,F022
P2810,A02,F029
P2815,LAND,F008
P2819,A01,F002
P2820,LAND,F033
P2822,A02,F019
P2824,LAND,F046
P2825,LAND,F017
P2826,LAND,F033
P2828,LAND,F039
P2829,LAND,F002
P2831,LAND,F020
P2832,A03,F049
P2835,LAND,F044
P2836,LAND,F017
P2837,LAND,F045
P2838,LAND,F021
P2839,LAND,F050
P2840,A01,F010
P2841,LAND,F045
P2843,A03,F044
P2844,LAND,F014
P2846,LAND,F040
P2847,LAND,F051
P2848,LAND,F025
P2850,A03,F047
P2853,LAND,F034
P2854,LAND,F049
P2858,LAND,F048
P2859,LAND,F009
P2863,A03,F046
P2864,LAND,F028
P2866,LAND,F001
P2867,LAND,F026
P2869,LAND,F010
P2871,LAND,F041
P2873,LAND,F019
P2876,LAND,F007
P2877,LAND,F025
P2878,LAND,F011
P2880,LAND,F002
P2881,LAND,F040
P2885,LAND,F006
P2889,LAND,F042
P2893,LAND,F049
P2896,LAND,F034
P2898,A01,F016
P2900,LAND,F031
P2901,LAND,F038
P2902,LAND,F023
P2904,LAND,F018
P2907,LAND,F024
P2908,LAND,F014
P2912,A03,F038
P2913,LAND,F039
P2914,A03,F048
P2922,LAND,F049
P2928,LAND,F001
P2929,A01,F003
P2930,LAND,F051
P2932,LAND,F024
P2933,LAND,F032
P2935,LAND,F040
P2938,LAND,F002
P2939,A03,F045
P2940,LAND,F033
P2942,A01,F001
P2943,LAND,F023
P2945,LAND,F051
P2953,LAND,F014
P2955,LAND,F025
P2956,A03,F037
P2965,LAND,F042
P2966,LAND,F041
P2968,LAND,F039
P2969,A01,F014
P2971,LAND,F026
P2972,A03,F050
P2974,LAND,F036
P2978,LAND,F011
P2982,LAND,F009
P2984,A03,F042
P2990,LAND,F008
P2991,LAND,F009
P2996,LAND,F001
P2998,LAND,F046
P2999,A01,F017
P3002,LAND,F033
P3004,LAND,F038
P3006,LAND,F009
P3008,LAND,F044
P3013,A02,F026
P3022,LAND,F036
P3023,A03,F043
P3025,LAND,F002
P3026,LAND,F020
P3027,LAND,F048
P3028,LAND,F042
P3039,LAND,F004
P3041,A02,F031
P3042,LAND,F022
P3044,A02,F019
P3048,A03,F039
P3050,LAND,F001
P3053,LAND,F004
P3055,LAND,F002
P3060,LAND,F020
P3062,LAND,F034
P3063,LAND,F003
P3067,LAND,F039
P3074,LAND,F005
P3075,LAND,F010
P3077,LAND,F001
P3079,LAND,F022
P3082,LAND,F051
P3083,A02,F022
P3084,LAND,F037
P3087,LAND,F023
P3088,LAND,F006
P3089,LAND,F041
P3090,LAND,F024
P3092,A01,F013
P3093,LAND,F020
P3094,LAND,F043
P3096,LAND,F030
P3098,LAND,F015
P3101,A02,F027
P3104,A02,F027
P3105,LAND,F052
P3108,A01,F011
P3109,A02,F027
P3112,LAND,F017
P3113,A01,F004
P3114,A02,F018
P3117,LAND,F030
P3118,A01,F009
P3119,LAND,F004
P3120,LAND,F031
P3125,LAND,F001
P3126,LAND,F038
P3136,LAND,F025
P3137,A01,F009
P3138,LAND,F001
P3149,LAND,F049
P3150,A01,F013
P3155,LAND,F044
P3156,LAND,F037
P3158,A02,F021
P3159,LAND,F004
P3160,LAND,F014
P3164,LAND,F010
P3167,LAND,F051
P3169,LAND,F036
P3170,LAND,F016
P3171,LAND,F032
P3174,LAND,F026
P3175,A01,F011
P3176,A01,F013
P3177,LAND,F025
P3182,LAND,F032
P3184,LAND,F051
P3190,A02,F024
P3191,LAND,F049
