airport,aircraft_type,flight_no,source,passengers,required_facilities,offshore_landings,refuel_count,distance_km,flight_time_min,fuel_kg,seat_utilization,route
A02,T3,41,full,19,1,2,1,512.0,193,1484.8,0.501953125,A02 -> F024 -> F034 -> A02
A02,T3,42,tail,18,1,2,1,512.0,193,1484.8,0.47553453947368424,A02 -> F024 -> F034 -> A02
A02,T3,43,full,19,1,2,1,537.0,201,1557.3,0.5139664804469274,A02 -> F024 -> F035 -> A02
A02,T3,44,full,19,1,1,0,406.0,140,1177.3999999999999,0.5,A02 -> F025 -> A02
A02,T3,45,full,19,1,1,0,442.0,150,1281.8,0.5,A02 -> F026 -> A02
A02,T3,46,full,19,1,1,0,396.0,136,1148.3999999999999,0.5,A02 -> F027 -> A02
A02,T3,47,full,19,1,1,0,432.0,148,1252.8,0.5,A02 -> F029 -> A02
A02,T3,48,full,19,1,1,0,360.0,124,1044.0,0.5,A02 -> F030 -> A02
A02,T3,49,full,19,1,1,1,484.0,174,1403.6,0.5,A02 -> F031 -> A02
A02,T3,50,full,19,1,1,0,478.0,162,1386.2,0.5,A02 -> F033 -> A02
A03,T3,51,full,19,1,2,1,527.0,198,1528.3,0.5294117647058824,A03 -> F031 -> F047 -> A03
A03,T3,52,full,19,1,2,1,541.0,202,1568.8999999999999,0.5508317929759704,A03 -> F031 -> F049 -> A03
A03,T3,53,full,19,1,1,0,462.0,156,1339.8,0.5,A03 -> F036 -> A03
A03,T3,54,full,19,1,1,0,462.0,156,1339.8,0.5,A03 -> F036 -> A03
A03,T3,55,tail,19,3,4,1,554.0,227,1606.6,0.5293558806764203,A03 -> F036 -> F031 -> F046 -> F049 -> A03
A03,T3,56,tail,18,3,3,1,750.0,279,2175.0,0.4727017543859649,A03 -> F037 -> F042 -> F044 -> A03
A03,T3,57,full,19,1,2,1,730.0,263,2117.0,0.4917808219178082,A03 -> F037 -> F044 -> A03
A03,T3,58,full,19,1,1,1,526.0,188,1525.3999999999999,0.5,A03 -> F038 -> A03
A03,T3,59,full,19,1,2,1,585.0,216,1696.5,0.5247863247863248,A03 -> F038 -> F041 -> A03
A03,T3,60,full,19,1,2,1,617.0,227,1789.3,0.5089141004862237,A03 -> F038 -> F043 -> A03
A03,T3,61,full,19,1,2,1,554.0,207,1606.6,0.5306859205776173,A03 -> F038 -> F045 -> A03
A03,T3,62,full,19,1,2,1,559.0,209,1621.1,0.5008944543828264,A03 -> F038 -> F051 -> A03
A03,T3,63,full,19,1,2,1,561.0,209,1626.8999999999999,0.5347593582887701,A03 -> F038 -> F052 -> A03
A03,T3,64,full,19,1,1,0,446.0,152,1293.3999999999999,0.5,A03 -> F039 -> A03
A03,T3,65,tail,15,1,1,0,446.0,152,1293.3999999999999,0.39473684210526316,A03 -> F039 -> A03
A03,T3,66,tail,19,2,2,1,812.0,288,2354.7999999999997,0.4559242934923516,A03 -> F040 -> F050 -> A03
A03,T3,67,full,19,1,2,1,741.0,266,2148.9,0.4966261808367072,A03 -> F042 -> F044 -> A03
A03,T3,68,tail,19,2,3,1,652.0,248,1890.8,0.521553115918631,A03 -> F043 -> F038 -> F052 -> A03
A03,T3,69,full,19,1,1,0,468.0,158,1357.2,0.5,A03 -> F046 -> A03
A03,T3,70,full,19,1,1,1,806.0,276,2337.4,0.5,A03 -> F050 -> A03
