aircraft_type,flight_no,stop_order,facility_id,refuel
T3,30,1,F020,0
T3,30,2,A02,0
T3,31,0,A02,0
T3,31,1,F020,0
T3,31,2,A02,0
T3,32,0,A02,0
T3,32,1,F020,0
T3,32,2,F022,0
T3,32,3,A02,0
T3,33,0,A02,0
T3,33,1,F021,0
T3,33,2,A02,0
T3,34,0,A02,0
T3,34,1,F021,0
T3,34,2,A02,0
T3,35,0,A02,0
T3,35,1,F021,0
T3,35,2,F029,0
T3,35,3,A02,0
T3,36,0,A02,0
T3,36,1,F022,0
T3,36,2,A02,0
T3,37,0,A02,0
T3,37,1,F022,0
T3,37,2,A02,0
T3,38,0,A02,0
T3,38,1,F023,0
T3,38,2,F031,1
T3,38,3,A02,0
T3,39,0,A02,0
T3,39,1,F024,0
T3,39,2,A02,0
T3,40,0,A02,0
T3,40,1,F024,0
T3,40,2,F025,0
T3,40,3,A02,0
T3,41,0,A02,0
T3,41,1,F024,1
T3,41,2,F034,0
T3,41,3,A02,0
T3,42,0,A02,0
T3,42,1,F024,1
T3,42,2,F034,0
T3,42,3,A02,0
T3,43,0,A02,0
T3,43,1,F024,1
T3,43,2,F035,0
T3,43,3,A02,0
T3,44,0,A02,0
T3,44,1,F025,0
T3,44,2,A02,0
T3,45,0,A02,0
T3,45,1,F026,0
T3,45,2,A02,0
T3,46,0,A02,0
T3,46,1,F027,0
T3,46,2,A02,0
T3,47,0,A02,0
T3,47,1,F029,0
T3,47,2,A02,0
T3,48,0,A02,0
T3,48,1,F030,0
T3,48,2,A02,0
T3,49,0,A02,0
T3,49,1,F031,1
T3,49,2,A02,0
T3,50,0,A02,0
T3,50,1,F033,0
T3,50,2,A02,0
T3,51,0,A03,0
T3,51,1,F031,1
T3,51,2,F047,0
T3,51,3,A03,0
T3,52,0,A03,0
T3,52,1,F031,1
T3,52,2,F049,0
T3,52,3,A03,0
T3,53,0,A03,0
T3,53,1,F036,0
T3,53,2,A03,0
T3,54,0,A03,0
T3,54,1,F036,0
T3,54,2,A03,0
T3,55,0,A03,0
T3,55,1,F036,0
T3,55,2,F031,1
T3,55,3,F046,0
T3,55,4,F049,0
T3,55,5,A03,0
T3,56,0,A03,0
T3,56,1,F037,0
T3,56,2,F042,0
T3,56,3,F044,1
T3,56,4,A03,0
T3,57,0,A03,0
T3,57,1,F037,0
T3,57,2,F044,1
T3,57,3,A03,0
T3,58,0,A03,0
T3,58,1,F038,1
T3,58,2,A03,0
T3,59,0,A03,0
T3,59,1,F038,1
T3,59,2,F041,0
T3,59,3,A03,0
T3,60,0,A03,0
T3,60,1,F038,1
T3,60,2,F043,0
T3,60,3,A03,0
T3,61,0,A03,0
T3,61,1,F038,1
T3,61,2,F045,0
T3,61,3,A03,0
T3,62,0,A03,0
T3,62,1,F038,1
T3,62,2,F051,0
T3,62,3,A03,0
T3,63,0,A03,0
T3,63,1,F038,1
T3,63,2,F052,0
T3,63,3,A03,0
T3,64,0,A03,0
T3,64,1,F039,0
T3,64,2,A03,0
T3,65,0,A03,0
T3,65,1,F039,0
T3,65,2,A03,0
T3,66,0,A03,0
T3,66,1,F040,0
T3,66,2,F050,1
T3,66,3,A03,0
T3,67,0,A03,0
T3,67,1,F042,0
T3,67,2,F044,1
T3,67,3,A03,0
T3,68,0,A03,0
T3,68,1,F043,0
T3,68,2,F038,1
T3,68,3,F052,0
T3,68,4,A03,0
T3,69,0,A03,0
T3,69,1,F046,0
T3,69,2,A03,0
T3,70,0,A03,0
T3,70,1,F050,1
T3,70,2,A03,0
