机型,架次,机场,停靠设施,承运人数,最大载荷,飞机使用时间(分钟),航程(km),燃油(kg),人员在途时间(分钟),座位利用率,空座公里
T3,83,A03,F050,38,19,276,806.0,2337.4,5244,1.0,0.0
T3,84,A03,F038—F052—F049—F046,38,19,233,573.0,1661.7,3800,0.931937,741.0
T3,85,A03,F036—F046—F047—F038,38,19,247,618.0,1792.2,4316,0.961761,449.0
T3,86,A03,F043—F050,35,19,291,821.0,2380.9,5145,0.922495,1209.0
T3,87,A03,F038—F048—F049,26,19,218,557.0,1615.3,2819,0.663422,3562.0
T3,88,A03,F045—F041—F051—F038—F048,25,19,255,604.0,1751.6,3158,0.661206,3888.0
T2,11,A03,F038—F048—F052,21,14,196,564.0,1410.0,2138,0.657247,3093.0
T3,89,A03,F036,19,19,156,462.0,1339.8,1387,0.5,4389.0
T3,90,A03,F037—F042—F040—F044,38,19,289,750.0,2175.0,5187,0.968561,448.0
T2,12,A03,F038—F045,31,16,182,554.0,1385.0,1369,0.495939,4468.0
T3,91,A03,F037—F042—F040—F044,24,19,289,750.0,2175.0,3238,0.562737,6231.0
T3,92,A03,F038—F048—F052—F049—F046,19,19,245,576.0,1670.4,3025,0.572003,4684.0
T3,93,A03,F038—F048—F052—F049—F047,19,19,250,592.0,1716.8,3249,0.581081,4712.0
T3,94,A03,F037—F044,19,19,263,730.0,2117.0,2237,0.416799,8089.0
T3,95,A03,F039—F038—F048—F052,33,18,232,566.0,1641.4,2115,0.409801,6347.0
T3,96,A03,F036,19,19,156,462.0,1339.8,1387,0.5,4389.0
T3,97,A03,F044—F043—F051,19,19,249,652.0,1890.8,2455,0.504278,6141.0
T3,98,A03,F037—F050—F042,19,19,298,811.0,2351.9,2451,0.475566,8081.0
T3,99,A03,F037—F050—F044—F043,19,19,311,822.0,2383.8,1603,0.229991,12026.0
T3,100,A03,F038—F052—F048,17,17,225,577.0,1673.3,306,0.035665,10572.0
T3,101,A03,F036—F047—F049—F048—F038,23,19,254,606.0,1757.4,1577,0.299027,8071.0
T3,102,A03,F036—F051—F044—F037,31,15,312,822.0,2383.8,3149,0.537713,7220.0
